Campaign;Campaign ID;Campaign type;Currency code;Audience segment;Clicks;Impr.;Cost
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;Travel;39;4,666;3.63
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Home & Garden › Home Appliances;34;69,233;20.75
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Shoppers › Shoppers by Shop Type;31;37,043;10.02
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Home & Garden › Home & Garden Services;28;31,847;8.95
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;Home & Garden;27;17,102;41.67
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles by Brand › Porsche;26;9,458;3.24
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Lifestyles & Hobbies › Business Professionals;22;21,601;6.25
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;Home & Garden › Home Security;22;14,273;35.88
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;Shoppers › Bargain Hunters;21;15,199;5.1
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Business Services;19;7,996;1.5
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Home & Garden › Home Improvement;19;27,608;7.73
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Purchasing a Home › Recently Purchased a Home;18;46,284;11.8
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;Porsche Cayenne;18;247;0.86
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Home & Garden › Household Supplies;18;20,105;5.65
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Shoppers › Shoppers by Shop Type;16;20,078;3
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden › Home Furnishings;16;14,285;5.25
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Shoppers › Shoppers by Shop Type › Department Store Shoppers;15;23,962;5.2
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;Home & Garden › Do-It-Yourselfers;15;6,185;14.97
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;ICC_Cayenne_Config_Starter-90-Standard-GA-DDM;15;84;0.51
T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;22310055769;In-stream video;EUR;Shoppers › Luxury Shoppers;14;4,339;10.48
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Shoppers › Bargain Hunters;14;10,132;2.38
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Property;14;47,469;12.63
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Home & Garden › Household Supplies;13;14,593;4.27
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;Porsches;12;1,424;0.44
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Lifestyles & Hobbies › Green Living Enthusiasts;12;15,934;6.64
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Home & Garden › Home Improvement;12;13,310;4.23
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;Employment › Executive & Management Jobs;11;9,055;7.4
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;Beauty & Personal Care › Tanning & Sun Care Products;11;5,193;8.27
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;Travel › Business Travellers;9;3,770;1.6
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Cars and Vehicles;7;3,570;1.26
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Home & Garden › Home & Garden Services;7;9,683;2.76
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles by Brand › Porsche;6;10,293;10.05
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;ICC_Config_Starter-90-Standard-GA-DDM;6;386;0.37
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden › Home Appliances;5;4,103;1.62
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;Travel › Business Travellers;5;556;0.23
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;Beauty & Personal Care › Tanning & Sun Care Products;4;3,457;2.73
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;Shoppers › Value Shoppers;4;5,998;1.8
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Lifestyles & Hobbies › Business Professionals;4;2,863;1.06
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;Shaving Products;3;680;0.57
