Campaign ID,Campaign,Age,Gender,Cost,Impr.,Clicks
22693786294,HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO,25 - 34,Female,593.29,807119.0,15456.0
23096352143,HR_HA_REF_HR_25_Q4_Hladnjaci-REF_DIS_consideration__Hladnjaci-DG_elipso.hr/prilika/lg-hladnjaci-akcija-rujan-2025/_20250926-0008__CPC_CLK_google-ads_PRO,35 - 44,Male,606.32,965802.0,15287.0
22153504697,Energycom Jan - Feb 2025 (DN) - CPC,55 - 64,Male,958.34,1158701.0,15262.0
23160958240,Volkswagen Gume Oct - Dec 2025 (DG) - CPC,65+,Male,641.49,904306.0,15132.0
22999073400,Volkswagen PHEV Sep - Oct 2025 (DG) - CPC,25 - 34,Male,429.08,1566146.0,15076.0
23242081674,Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC,65+,Male,429.45,704409.0,14611.0
22586352378,Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC,45 - 54,Male,411.53,749018.0,14291.0
22536061637,Cupra Formentor PHEV II - May 2025 (DG) - CPC,55 - 64,Male,431.79,623435.0,14282.0
23240403490,Škoda 130 godina Nov - Dec 2025 (GDN) - CPC,45 - 54,Male,1118.19,1071487.0,14144.0
22666305736,HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH,35 - 44,Female,454.83,521776.0,14058.0
23096285714,HR_HA_VC_HR_25_Q4_Usisavači-VCC_DIS_consideration__Usisavači-VCC-DG_lg.com/hr/usisavaci_20250525-0001__CPC_CLK_google-ads_PRO,25 - 34,Female,654.13,985051.0,13874.0
22296172251,Volkswagen AE Boost March 2025 (DG) - CPC,45 - 54,Male,346.74,461295.0,13705.0
22536061637,Cupra Formentor PHEV II - May 2025 (DG) - CPC,35 - 44,Male,412.75,800905.0,13685.0
22719192229,Volkswagen PHEV Jun-Aug 2025 (DG) - CPC,45 - 54,Female,291.01,883759.0,13662.0
22536061637,Cupra Formentor PHEV II - May 2025 (DG) - CPC,55 - 64,Female,411.51,500480.0,13623.0
22689917264,HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH,35 - 44,Male,495.48,668949.0,13494.0
22359572836,Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC,55 - 64,Male,390.56,603605.0,13452.0
22586352378,Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC,35 - 44,Female,363.84,600000.0,13328.0
22359572836,Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC,45 - 54,Male,394.19,723171.0,13146.0
23242081674,Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC,65+,Female,401.64,615665.0,13053.0
23048113569,HR_OTH_AC_HR_25_Q3_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250916-0003__CPC_CLK_google-ads_PRO,25 - 34,Female,407.43,943248.0,12934.0
23196329174,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,65+,Female,454.11,585282.0,12741.0
23096352143,HR_HA_REF_HR_25_Q4_Hladnjaci-REF_DIS_consideration__Hladnjaci-DG_elipso.hr/prilika/lg-hladnjaci-akcija-rujan-2025/_20250926-0008__CPC_CLK_google-ads_PRO,45 - 54,Male,533.72,673522.0,12723.0
22536061637,Cupra Formentor PHEV II - May 2025 (DG) - CPC,45 - 54,Male,390.58,670928.0,12472.0
22470193148,Škoda Elroq Apr - May 2025 (DG) - CPC,65+,Female,353.55,490841.0,12363.0
23048113569,HR_OTH_AC_HR_25_Q3_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250916-0003__CPC_CLK_google-ads_PRO,35 - 44,Male,413.04,790318.0,12255.0
22693786294,HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO,45 - 54,Male,490.14,548268.0,12203.0
22359572836,Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC,55 - 64,Female,344.12,428033.0,12195.0
22689917264,HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH,35 - 44,Female,445.67,526391.0,12116.0
22689917264,HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH,25 - 34,Female,432.54,638787.0,12032.0
23096352143,HR_HA_REF_HR_25_Q4_Hladnjaci-REF_DIS_consideration__Hladnjaci-DG_elipso.hr/prilika/lg-hladnjaci-akcija-rujan-2025/_20250926-0008__CPC_CLK_google-ads_PRO,35 - 44,Female,481.28,679366.0,12030.0
23247973596,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-DG_lg.com/hr/lg-washtower_consideration_20251030-0003_google-ads_DIS_PRO_CPC_CLK_PRO,25 - 34,Female,393.11,712461.0,11861.0
23048113569,HR_OTH_AC_HR_25_Q3_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250916-0003__CPC_CLK_google-ads_PRO,45 - 54,Male,425.76,602838.0,11801.0
22153504697,Energycom Jan - Feb 2025 (DN) - CPC,45 - 54,Male,736.94,883904.0,11691.0
22553033214,Škoda Superb May-Jun 2025 (DG) - CPC,35 - 44,Male,397.66,898522.0,11644.0
22364219038,Škoda Gume Mar - Apr 2025 (DG) - CPC,65+,Female,302.03,482469.0,11565.0
23096285714,HR_HA_VC_HR_25_Q4_Usisavači-VCC_DIS_consideration__Usisavači-VCC-DG_lg.com/hr/usisavaci_20250525-0001__CPC_CLK_google-ads_PRO,35 - 44,Male,565.29,926713.0,11548.0
23096352143,HR_HA_REF_HR_25_Q4_Hladnjaci-REF_DIS_consideration__Hladnjaci-DG_elipso.hr/prilika/lg-hladnjaci-akcija-rujan-2025/_20250926-0008__CPC_CLK_google-ads_PRO,45 - 54,Female,486.88,548539.0,11451.0
22693786294,HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO,45 - 54,Female,464.88,496272.0,11400.0
22360534505,Volkswagen Gume Mar - Apr 2025 (DG) - CPC,65+,Male,324.26,442340.0,11286.0
22666305736,HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH,45 - 54,Male,391.59,486403.0,11276.0
23155974167,Škoda Gume Oct - Dec 2025 (DG) - CPC,65+,Female,430.31,666422.0,11268.0
22360534505,Volkswagen Gume Mar - Apr 2025 (DG) - CPC,65+,Female,320.4,477990.0,11214.0
23155974167,Škoda Gume Oct - Dec 2025 (DG) - CPC,65+,Male,432.08,660414.0,11182.0
22359572836,Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC,35 - 44,Female,322.21,476115.0,11146.0
23096285714,HR_HA_VC_HR_25_Q4_Usisavači-VCC_DIS_consideration__Usisavači-VCC-DG_lg.com/hr/usisavaci_20250525-0001__CPC_CLK_google-ads_PRO,35 - 44,Female,553.76,701440.0,11059.0
22586352378,Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC,45 - 54,Female,320.68,511645.0,11044.0
22999073400,Volkswagen PHEV Sep - Oct 2025 (DG) - CPC,25 - 34,Female,320.47,1181261.0,11029.0
22562758033,Škoda Kodiaq May-Jun 2025 (DG) - CPC,35 - 44,Male,377.59,762732.0,10996.0
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,55 - 64,Male,383.9,492106.0,10512.0
22364219038,Škoda Gume Mar - Apr 2025 (DG) - CPC,65+,Male,277.73,437576.0,10500.0
23247973596,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-DG_lg.com/hr/lg-washtower_consideration_20251030-0003_google-ads_DIS_PRO_CPC_CLK_PRO,35 - 44,Male,355.19,592479.0,10417.0
22841776748,Škoda Superb PHEV August 2025 (DG) - CPC,45 - 54,Female,433.39,961965.0,10304.0
