Campaign ID,Campaign,Audience segment,Cost,Impr.,Clicks
22706177735,McDonald's Pistachio Desert II June - August 2025 (YT) - CPV,Food & Dining › Fast Food Cravers,2.94,1206.0,1.0
22706177735,McDonald's Pistachio Desert II June - August 2025 (YT) - CPV,Fast Food Restaurants,0.79,291.0,1.0
22710122542,McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.62,404.0,1.0
22725272300,VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.,Shoppers › Value Shoppers,2.79,3375.0,1.0
22729381812,JGL Muzej farmacije HR Jul - Aug 2025 (DN) - CPC,Media & Entertainment,0.17,281.0,1.0
22729381812,JGL Muzej farmacije HR Jul - Aug 2025 (DN) - CPC,Education,0.1,850.0,1.0
22729381812,JGL Muzej farmacije HR Jul - Aug 2025 (DN) - CPC,Home & Garden,0.06,297.0,1.0
22729381812,JGL Muzej farmacije HR Jul - Aug 2025 (DN) - CPC,Travel,0.26,132.0,1.0
22732857306,McDonald's McDelivery July - September 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,1.6,559.0,1.0
22732857306,McDonald's McDelivery July - September 2025 (YT) - CPV,Fast Food Menus,1.19,399.0,1.0
22733053338,McDonald's Coffee July - September 2025 (YT) - CPV,Coffee Drinks,0.4,149.0,1.0
22733053338,McDonald's Coffee July - September 2025 (YT) - CPV,McDonalds Coffee,1.77,652.0,1.0
22733055054,McDonald's Coffee July - September 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,7.4,11192.0,1.0
22735542698,JGL Muzej farmacije TUR Jul - Aug 2025 (DN) - CPC,Travel › Travel Buffs › Luxury Travellers,0.04,325.0,1.0
22735542698,JGL Muzej farmacije TUR Jul - Aug 2025 (DN) - CPC,Travel › Hotels & Accommodation › Holiday Rentals,0.1,235.0,1.0
22738160776,McDonald's Maestro III June-August 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,4.22,6369.0,1.0
22738216012,McDonald's Maestro III June-August 2025 (YT) - CPV,Burger Restaurants,0.5,185.0,1.0
22738852523,JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC,Lifestyles & Hobbies › Nightlife Enthusiasts,0.04,81.0,1.0
22738859515,McDonald's IceCoffe June - August 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,1.28,956.0,1.0
22738859515,McDonald's IceCoffe June - August 2025 (YT) - Bumper,Coffee Drinks,0.44,637.0,1.0
22738859515,McDonald's IceCoffe June - August 2025 (YT) - Bumper,McDonalds Coffee,1.79,2424.0,1.0
22739006393,McDonald's McDelivery July - September 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,2.79,2178.0,1.0
22739492762,McDonald's Breakfast July - September 2025 (YT) - Bumper,Food & Drink › Food › Dairy & Eggs,0.62,456.0,1.0
22742489014,McDonald's McCrispy July 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,1.07,2057.0,1.0
22742489014,McDonald's McCrispy July 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out,2.23,5313.0,1.0
22742489014,McDonald's McCrispy July 2025 (YT) - Bumper,Food & Drink › Food & Grocery Delivery › Restaurant Delivery & Takeaway,0.46,435.0,1.0
22742489014,McDonald's McCrispy July 2025 (YT) - Bumper,McDonald's Chicken 30 Days,0.1,215.0,1.0
22743236866,McDonald's Breakfast July - September 2025 (YT) - CPV,Fast Food Restaurants,1.91,665.0,1.0
22743236866,McDonald's Breakfast July - September 2025 (YT) - CPV,Mc Donalds Food and Promotions,1.77,644.0,1.0
22765251787,McDonald's Mixology July 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,1.13,1223.0,1.0
22765251787,McDonald's Mixology July 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.22,149.0,1.0
22775346894,McDonald's HM Lil McD's July 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,0.38,294.0,1.0
22784870398,McDonald's HM Lil McD's July 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.85,271.0,1.0
22809289179,McDonald's McNuggets II July - August 2025 - Bumper,Food & Dining › Fast Food Cravers,1.94,3301.0,1.0
22809289179,McDonald's McNuggets II July - August 2025 - Bumper,McDonald's Chicken 30 Days,0.11,193.0,1.0
22818941470,McDonald's McNuggets II July - August 2025 - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,5.26,1761.0,1.0
22818941470,McDonald's McNuggets II July - August 2025 - CPV,Fast Food Menus,0.82,352.0,1.0
22818941470,McDonald's McNuggets II July - August 2025 - CPV,restaurants mcdonald's,0.44,131.0,1.0
22866665976,McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper,Food & Dining,2.02,1773.0,1.0
22866665976,McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper,Food & Drink › Food & Grocery Delivery › Restaurant Delivery & Takeaway,0.38,293.0,1.0
22866665976,McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper,Parental Status › Parents › Parents of Infants (0-1 years),0.13,161.0,1.0
22872439121,McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV,Mc Donalds Food and Promotions,0.58,199.0,1.0
22886402763,McDonald's McCrispy AO Aug - Sep 2025 (YT) - CPV,restaurants mcdonald's,1.58,311.0,1.0
22892098685,McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,4.0,6338.0,1.0
22892098685,McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper,Food & Drink › Food & Grocery Delivery › Restaurant Delivery & Takeaway,4.36,4488.0,1.0
22921320684,McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV,Food & Dining › Cooking Enthusiasts › 30 Minute Chefs,1.08,421.0,1.0
22921320684,McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV,Food & Dining › Fast Food Cravers,0.86,350.0,1.0
