Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;25 - 34;Female;457;348,864;914.23
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;EUR;35 - 44;Male;451;743,115;753.04
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;45 - 54;Female;441;427,290;90.24
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;35 - 44;Female;438;346,633;870.55
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;55 - 64;Male;428;487,311;116.88
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;45 - 54;Male;425;340,556;774.82
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;EUR;18 - 24;Male;410;457,024;100.25
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;EUR;18 - 24;Female;404;465,358;91.21
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;25 - 34;Unknown;400;36,323;10.6
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;45 - 54;Female;396;249,061;390.88
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;35 - 44;Female;385;497,628;149.22
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;45 - 54;Unknown;382;10,599;12.41
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;EUR;45 - 54;Male;380;642,865;675.78
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;35 - 44;Unknown;376;24,883;11.17
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;45 - 54;Female;376;476,905;526.61
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;EUR;25 - 34;Female;374;670,591;631.45
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;55 - 64;Unknown;359;6,170;11.48
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;45 - 54;Male;357;427,514;88.78
