Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22306114256;1.6;209,675
VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;22514122692;3.3;689,880
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;22401314099;3.9;772,517
DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22299667824;6.2;185,390
VID_OMD_HR-HR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Vera_18.4.-15.6.2025.;22460577070;3.3;523,977
Traffic_CPC_Croatia_GoogleAds_Hidra_NCP-Campaign-June-August-2025;22689317509;2.9;400,576
Rio Mare Insalatissime Apr - May 2025 (YT) - CPM;22422142785;3.4;772,745
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025;22545555255;3.6;751,784
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;22489151010;4.7;225,741
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.;22499484667;2.7;1,087,737
DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025;22545560319;5.3;645,266
DIS_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22259191387;4.4;390,168
DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;22514121090;6.3;680,369
DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.;22499326504;8.4;464,847
VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.;22519829013;3.4;481,900
fungilac_march_2025_youtube_fc_cpm;22397772365;6.8;451,927
DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.;22449188365;8;362,488
Rio Mare For Oceans Jun 2025 (YT) - CPV;22629192638;2.6;593,275
Rio Mare Filodolio May - Jun 2025 (YT) - CPV;22524793110;5.1;686,410
Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025;22429120937;8.2;1,741,861
DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22425796232;5.5;452,110
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.;22725272300;1.5;244,617
VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO;22691381184;2;923,699
Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;22418606613;3.7;1,290,429
Zott Hungry May - Jul 2025 (YT) - Reach Mix;22588201807;3.6;1,016,162
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Female;22363265963;1.6;70,737
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;22637616678;1.8;308,971
McDonald's Maestro III June-August 2025 (YT) - CPV;22738216012;1.1;16,757
Zott Protein Apr - Jun 2025 (YT) - Bumper - CPM;22432580057;3;696,976
