Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
McDonald's Opusteno Dopusteno II August 2025 (YT) - Bumper;22895981650;2.3;975,358
McDonald's Maestro III June-August 2025 (YT) - CPV;22738216012;2.1;579,392
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper;23062023277;1.3;232,317
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;22707031568;5;1,235,248
McDonald's Maestro IV Sep - Oct 2025 (YT) - CPV;22982571265;2;304,160
McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV;23000376953;2.1;412,490
T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;22601549246;1.7;275,860
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI;22867060452;3.8;615,097
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22642254895;3.2;834,000
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22673043328;2.9;704,035
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Shorts;22599321744;2.8;279,603
McDonald's Opusteno Dopusteno II August 2025 (YT) - CPV;22895928142;2.4;489,126
202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Bumper;22592918381;4;1,591,029
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview;22530853916;3.9;837,612
T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI;22928895972;2;455,191
McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper;22972236465;2.2;739,532
T03_000098_HR_NSU_ProtectMoisture_AW_May25_Jul25_fullf_OMD_DigGR_Bumper;22551416534;2.9;582,432
McDonald's McNuggets II July - August 2025 - Bumper;22809289179;2;808,678
Zott Jogobella Sept - Oct 2025 (YT) - TrueView - CPV;23005394785;2.5;224,498
202509//Ceresit//Ceresit CT19;23051949030;2.2;29,538
McDonald's Grimace May - July 2025 (YT) - CPV;22728306162;2.9;457,169
