Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_16.6.-20.8.2025.;Philips Serbia DAN;22686031805;656,675;4.6
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;Philips Serbia DAN;22657308689;;
PMAX_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips_SLO;23034203750;;
VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;Philips_SLO;22679984082;410,046;2.5
VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips_SLO;22747183861;532,053;2.9
DG_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips Serbia DAN;23028088734;249,529;4
VID_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips Serbia DAN;22524433186;443,372;1.5
Dr. Oetker Doručkujmo zajedno Aug - Sep 2025 (DN) - CPC;Dr.Oetker EUR;22942585570;427,397;2.9
PMAX_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips Serbia DAN;23028088689;;
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;Philips Serbia DAN;22651133247;404,937;5.2
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_16.6.-20.8.2025.;Philips Serbia DAN;22680238722;;
DG_OMD_SI-SL_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips_SLO;22514311083;59,261;1.9
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;Philips Serbia DAN;22660872715;1,111,562;2.3
PMAX_OMD_RS-SR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;Philips Serbia DAN;22857655199;;
VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips Serbia DAN;23034172058;583,063;1.6
VID_OMD_SI-SL_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips_SLO;22514313036;100,874;1.3
Dr. Oetker Turisti Jul - Aug 2025 (DN) - CPC;Dr.Oetker EUR;22774059526;684,248;3.7
Dr. Oetker Baguette September 2025 (DN) - CPC;Dr.Oetker EUR;22987364054;375,230;2.7
PMAX_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips Serbia DAN;22524434296;;
DG_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips Serbia DAN;22514381406;140,271;1.6
