Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper;CEE//HR//B//Hair Care//Schauma Family//Schauma;22524522930;162,683;1.2
202509//Ceresit//Ceresit CT19;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23051949030;451,350;4.2
202512//Ceresit//Ceresit Expert;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23348045715;415,884;4.1
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22876405666;234,680;1.8
202509//Ceresit//CE&CS25//Brand Campaign;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23035480243;380,038;4.3
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview;CEE//HR//B//Hair Care//Schauma Family//Schauma;22530853916;150,468;1.3
T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22928895972;273,226;1.6
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22867060452;202,619;1.5
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23099670393;480,700;4.4
202511//Ceresit//Ceresit Glue;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23229615301;499,343;4.6
T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22911143511;778,537;3.4
Rio Mare Pate Mayo October 2025 (YT) - CPM;Rio Mare EUR;23125923104;176,610;1.5
Rio Mare Great Taste December 2025 (YT) - CPM;Rio Mare EUR;23345854229;1,100,140;3.7
Rio Mare Pate Mayo October 2025 (YT) - CPM - 2;Rio Mare EUR;23151406242;846,649;2.7
Elgrad GDN Always On 2025 (DN) - CPC;Elgrad Austria EUR;22257842791;603,023;8
Seat Akumulator Nov - Dec 2025 (PMAX) - CPA;Porsche Seat 2023;23231650448;;
Seat Zupčasti remen Oct - Dec 2025 (PMAX) - CPA;Porsche Seat 2023;23172967626;;
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview;CEE//HR//L//HDD Value for Money//Mileage//Weisser Riese;22623626124;719,034;4.2
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper;CEE//HR//L//HDD Value for Money//Mileage//Weisser Riese;22623704862;965,279;3.5
Seat Akumulator Nov - Dec 2025 (DG) - CPC;Porsche Seat 2023;23231650544;324,127;5.6
Energycom Jan - Dec 2026 - Performance Max;ENERGYCOM D.O.O.;22153504496;;
Seat Gume Oct - Dec 2025 (PMAX) - CPA;Porsche Seat 2023;23151243997;;
Cupra Terramar Oct 2025 (DN) - CPM;Porsche Cupra 2023;23160674803;979,243;6.7
Cupra Range Dec 2025 (GDN) - CPM;Porsche Cupra 2023;23386389997;572,669;8.6
Cupra BEV - Poticaji - Oct 2025 (DN) - CPC;Porsche Cupra 2023;23074947492;180,578;2.7
Seat Gume Oct - Dec 2025 (DG) - CPC;Porsche Seat 2023;23141475096;477,995;5.7
Seat Metlice Oct - Dec 2025 (DG) - CPC;Porsche Seat 2023;23151051484;504,021;3.1
Cupra Terramar Oct 2025 (YT) - Efficient reach;Porsche Cupra 2023;23155724081;1,169,711;4.1
Seat Metlice Oct - Dec 2025 (PMAX) - CPA;Porsche Seat 2023;23146691471;;
Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC;Porsche Seat 2023;23177785397;651,008;5
Kaufland - Image - Split - Ravne njive - Nov - (DN) - CPM;Kaufland_Display_HR;23252553270;103,416;3.6
202507//Bref//Power Active RL 24//Easier Way campaign//video//Trueview;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22800836042;737,477;3.2
Kaufland - Impuls - NEO konkurencija - Stoti kupac - Jankomir - Oct 2025 (DG) - CPC;Kaufland_Display_HR;23068292085;141,384;1.9
SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;23018167917;452,009;5.7
Demand_Gen_DishCare_Dishwashers_2025_Finish_HR;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;23069848067;808,817;6.7
Kaufland - Image - Impuls - Christmas - IGRAČKE - Nov-Dec 2025 (DN) - CPC;Kaufland_Display_HR;23228485387;522,314;3.7
Kaufland - Impuls - Božić - Nov-Dec - (DG) - CPC;Kaufland_Display_HR;23268872371;593,430;5.6
202510//Ceresit STOP//Local Brand Support Rubson Healthy Home 2023 (FR)//Local Brand Support Healthy Home 2023;CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;23120362515;780,121;3.6
MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;23337586207;862,981;5.2
Kaufland - Impuls - NEO konkurencija - Stoti kupac - Jankomir - Oct 2025 (DN) - CPM;Kaufland_Display_HR;23078243977;149,103;6.4
Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC;Kaufland_Display_HR;23224632388;614,860;4.6
Kaufland - Impuls - Božić - Nov-Dec - (DN) - CPC;Kaufland_Display_HR;23259493185;752,933;7.1
Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC;Kaufland_Display_HR;23064392874;25,175;2.2
Kaufland - Impuls - Split - Ravne njive - Nov - (DN) - CPC;Kaufland_Display_HR;23261800483;96,121;4
Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;23067963990;968,737;12.4
Kaufland - Image - Other - NEO - Otvorenje Osijek - Oct 2025 (DN) - CPM;Kaufland_Display_HR;23076969740;391,973;13.7
202507//Bref//Power Active RL 24//Easier Way campaign//video//Bumper;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22794974865;874,266;2.6
Kaufland - Impuls - Kaufland Card Rođendan - Oct - Nov 2025 (DN) - CPC;Kaufland_Display_HR;23135201942;370,182;3.8
Kaufland - Impuls - NEO konkurencija - Jednodnevna akcija - Jankomir - DEC 2025 (DN) - CPC;Kaufland_Display_HR;23306185899;140,296;8.4
Kaufland - Impuls - Kaufland Card - Nagradna igra - Orašar - November - (DG) - CPC;Kaufland_Display_HR;23257840267;460,083;3.9
Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;23063936142;766,269;3.8
Kaufland GDN Godišnja 2026 (DN);Kaufland_Display_HR;19354219109;1,225,753;13.2
Kaufland - Impuls - Katalog Dekoracije i kolači - (DN) - CPC;Kaufland_Display_HR;23303954306;477,256;3.9
Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC;Kaufland_Display_HR;23055092044;25,381;3.2
Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;23073689005;1,325,932;9.9
Demand_Gen_Food_AirFryer_2025_Flight_HR;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;23064041271;1,065,288;6.8
Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC;Kaufland_Display_HR;23055052468;114,994;4.5
Škoda Metlice Oct - Dec 2025 (PMAX) - CPA;Porsche Škoda 2023;23160594388;;
Finish Reckitt PIP Oct 2025 (DN) - CPM;Finish;23141071884;881,904;7.4
Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;23200358572;962,113;5.1
Audi Metlice Oct - Dec 2025 (DG) - CPC;Porsche Audi 2023;23172640507;237,120;2.6
Finish Reckitt PIP Nov 2025 (DN) - CPM;Finish;23208502981;959,356;7.1
Škoda Metlice Oct - Dec 2025 (DG) - CPC;Porsche Škoda 2023;23156094650;241,741;3.2
Volkswagen PHEV Sep - Oct 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;22999073400;467,105;7.7
Volkswagen PHEV Sep - Oct 2025 (PMAX) - CPA;Porsche Volkswagen osobna vozila 2023;23005255190;;
Audi Akumulator Nov - Dec 2025 (DG) - CPC;Porsche Audi 2023;23228911139;370,133;4.5
Porsche DWA Oct - Dec 2025 (YT) - Efficient reach - CPM;Porsche  Das Welt Auto 2023;23205520748;1,020,733;4
Audi Gume Oct - Dec 2025 (PMAX) - CPA;Porsche Audi 2023;23147040878;;
Audi Q3 Nov - Dec 2025 - (YT)  Efficient reach - CPM;Porsche Audi 2023;23227314390;1,089,274;3.8
Škoda Gume Oct - Dec 2025 (PMAX) - CPA;Porsche Škoda 2023;23156041838;;
Porsche Moon Oct - Dec 2025 - (DG) - CPC;Porsche Moon 2023;23095969412;693,293;6.5
Porsche Moon Oct - Dec 2025 - (YT) - VVC;Porsche Moon 2023;23095969598;748,089;4.4
Audi Akumulator Nov - Dec 2025 (PMAX) - CPA;Porsche Audi 2023;23228911136;;
Volkswagen Akumulator Nov - Dec 2025 (PMAX) - CPA;Porsche Volkswagen osobna vozila 2023;23247133613;;
Volkswagen Metlice Oct - Dec 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;23156738063;527,399;4.1
Porsche Moon Oct - Dec 2025 - (DN) - CPC;Porsche Moon 2023;23090115996;620,739;5.2
Finish Reckitt PIP Nov 2025 (YT) - CPM - Retargeting;Finish;23223501740;302,694;2.7
Porsche DWA Oct - Dec 2025 (GDN) - CPC;Porsche  Das Welt Auto 2023;23209790548;645,433;3.4
Volkswagen Gume Oct - Dec 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;23160958240;839,722;6.2
Škoda Akumulator Nov - Dec 2025 (DG) - CPC;Porsche Škoda 2023;23242272630;516,662;4.6
Škoda Akumulator Nov - Dec 2025 (PMAX) - CPA;Porsche Škoda 2023;23247325415;;
Škoda 130 godina Nov - Dec 2025 (YT) Efficient reach - CPM;Porsche Škoda 2023;23236016321;1,029,381;3.9
Audi Metlice Oct - Dec 2025 (PMAX) - CPA;Porsche Audi 2023;23172535645;;
Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC;Porsche Škoda 2023;23196329174;835,065;4.7
Škoda Gume Oct - Dec 2025 (DG) - CPC;Porsche Škoda 2023;23155974167;581,624;6.2
Škoda 130 godina Nov - Dec 2025 (GDN) - CPC;Porsche Škoda 2023;23240403490;730,293;4.6
Volkswagen Zupčasti remen Oct - Dec 2025 (PMAX) - CPA;Porsche Volkswagen osobna vozila 2023;23190909996;;
Audi Zupčasti remen Oct - Dec 2025 (PMAX) - CPA;Porsche Audi 2023;23182802566;;
Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC;Porsche Audi 2023;23178401984;680,396;4.6
Volkswagen Metlice Oct - Dec 2025 (PMAX) - CPA;Porsche Volkswagen osobna vozila 2023;23161207339;;
Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;Porsche Moon 2023;23100458605;;
Finish Reckitt PIP Oct 2025 (YT) - CPV;Finish;23156802396;347,536;2.5
Volkswagen Gume Oct - Dec 2025 (PMAX) - CPA;Porsche Volkswagen osobna vozila 2023;23161140631;;
Škoda Zupčasti remen Oct - Dec 2025 (PMAX) - CPA;Porsche Škoda 2023;23196338093;;
Audi Gume Oct - Dec 2025 (DG) - CPC;Porsche Audi 2023;23151461725;393,939;5.6
Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;23242081674;630,987;5.4
Škoda Octavia Dec 2025 (YT) - Efficient Reach - CPM;Porsche Škoda 2023;23358399088;816,048;2.8
Porsche DWA Oct - Dec 2025 (DG) - CPC;Porsche  Das Welt Auto 2023;23205620765;327,612;4.9
Finish Reckitt PIP Nov 2025 (YT) - CPV;Finish;23204324852;491,014;3.7
Volkswagen PHEV Sep - Oct 2025 (YT) - CPM;Porsche Volkswagen osobna vozila 2023;23005360310;484,698;2
DIS_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_GDN_20.10.-31.12.2025.;Philips Serbia DAN;23163170868;501,030;3.7
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_15.10-15.12.2025.;Philips Serbia DAN;23142979085;;
