Ad format,Campaign,Campaign ID,Avg. impr. freq. / user,Unique users
In-feed,Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC,23064392874,2.2,24813.0
Shorts,Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC,23064392874,1.9,591.0
Skippable in-stream,Demand_Gen_Food_AirFryer_2025_Flight_HR,23064041271,3.6,338718.0
In-feed,Demand_Gen_Food_AirFryer_2025_Flight_HR,23064041271,5.2,964127.0
Shorts,Demand_Gen_Food_AirFryer_2025_Flight_HR,23064041271,5.6,177155.0
Skippable in-stream,Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR,23063936142,1.8,60520.0
In-feed,Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR,23063936142,3.6,720221.0
Shorts,Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR,23063936142,2.9,81263.0
In-feed,Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC,23055092044,3.2,25381.0
In-feed,Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC,23055052468,3.8,106688.0
Shorts,Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC,23055052468,5.5,21027.0
Skippable in-stream,SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL,23018167917,5.3,349382.0
In-feed,SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL,23018167917,3.0,123288.0
Shorts,SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL,23018167917,4.4,78211.0
Skippable in-stream,Kaufland - Image - CSR - Vatrogasci - Sept-Oct 2025 (YT) - VVC,23005725960,1.9,60710.0
Shorts,Kaufland - Image - CSR - Vatrogasci - Sept-Oct 2025 (YT) - VVC,23005725960,1.8,107162.0
Skippable in-stream,Kaufland - Image - Platforma - Feb-Mar 2025 (YT) - VVC,22268416700,1.7,42491.0
Shorts,Kaufland - Image - Platforma - Feb-Mar 2025 (YT) - VVC,22268416700,1.7,62574.0
Skippable in-stream,McDonald's McDelivery x Glovo III Dec 2025 (YT) - CPV,23368942255,1.6,260867.0
In-feed,McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper,23359818609,1.1,17206.0
Bumper,McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper,23359818609,1.4,469979.0
Skippable in-stream,McDonald's Happy Meal Playmobil December 2025 (YT) - CPV,23357095577,1.8,184236.0
Bumper,McDonald's Happy Meal Playmobil December 2025 (YT) - Bumper,23351985054,1.3,373671.0
Skippable in-stream,meralys_december_2025_youtube_cpm,23344911816,2.5,1132424.0
In-feed,meralys_december_2025_youtube_cpm,23344911816,2.5,735944.0
Shorts,meralys_december_2025_youtube_cpm,23344911816,2.7,364411.0
In-feed,McDonald's Sirious Winter December 2025 (YT) - Bumper,23344793168,1.1,188890.0
Bumper,McDonald's Sirious Winter December 2025 (YT) - Bumper,23344793168,1.8,674066.0
Skippable in-stream,McDonald's Sirious Winter December 2025 (YT) - CPV,23339715288,2.7,417782.0
Skippable in-stream,McDonald's Snack Menu AO III December 2025 (YT) - CPV,23334197017,1.8,260044.0
In-feed,McDonald's Snack Menu AO III December 2025 (YT) - Bumper,23330173406,1.2,177550.0
