Ad format;Campaign;Account;Campaign ID;Clicks;CTR;Impr.;Avg. CPC;Avg. CPM;TrueView views;TrueView avg. CPV;Cost;Conversions;Cost / conv.
Skippable in-stream;McDonald's Happy Meal Squiishmallows June 2025 - CPV;McDonald's EUR;22636378057;871;0.10%;873,642;3.44;3.43;538,838;0.01;2999.25;747.87;4.01
Skippable in-stream;McDonald's Employer Image II May - June 2025 (YT) - CPV;McDonald's EUR;22633085185;415;0.10%;434,991;3.61;3.45;293,259;0.01;1499.41;718.16;2.09
In-feed;McDonald's Grimace Exclusive June 2025 (YT) - Bumper;McDonald's EUR;22632976000;21;0.01%;260,924;2.85;0.23;5,615;0.01;59.89;53.68;1.12
Bumper;McDonald's Grimace Exclusive June 2025 (YT) - Bumper;McDonald's EUR;22632976000;505;0.12%;410,664;1.03;1.26;0;0;518.65;166.54;3.11
In-feed;McDonald's Happy Meal Squiishmallows June 2025 - Bumper;McDonald's EUR;22632870437;8;0.00%;346,333;16.97;0.39;9,837;0.01;135.8;49.2;2.76
Bumper;McDonald's Happy Meal Squiishmallows June 2025 - Bumper;McDonald's EUR;22632870437;665;0.14%;476,479;1.3;1.81;0;0;863.81;232.26;3.72
Skippable in-stream;McDonald's Grimace Exclusive June 2025 (YT) - CPV;McDonald's EUR;22623078690;259;0.11%;239,198;3.34;3.62;155,213;0.01;865.34;179.94;4.81
Skippable in-stream;McDonald's Coffee Monday AO May - Jun 2025 (YT) - CPV;McDonald's EUR;22615794446;1,218;0.17%;709,548;2.05;3.52;405,649;0.01;2499.22;1,001.08;2.5
In-feed;McDonald's Breakfast Mushrooms May - Sep 2025. - Bumper;McDonald's EUR;22604502871;4;0.00%;198,199;14.42;0.29;3,816;0.02;57.67;2.74;21.01
Bumper;McDonald's Breakfast Mushrooms May - Sep 2025. - Bumper;McDonald's EUR;22604502871;185;0.08%;224,934;1.5;1.24;0;0;278.3;61.56;4.52
Skippable in-stream;McDonald's McCrispy AO May-Jun 2025 (YT) - CPV;McDonald's EUR;22600968923;1,002;0.10%;961,920;3.49;3.64;628,699;0.01;3500.41;935.7;3.74
In-feed;McDonald's McCrispy AO May-Jun 2025 (YT) - Bumper;McDonald's EUR;22600899041;31;0.00%;1,319,481;7.66;0.18;11,561;0.02;237.54;48.18;4.93
Bumper;McDonald's McCrispy AO May-Jun 2025 (YT) - Bumper;McDonald's EUR;22600899041;1,687;0.10%;1,669,961;1.04;1.06;0;0;1762.49;646.7;2.73
Skippable in-stream;McDonald's Breakfast Mushrooms May - Sep 2025. - CPV;McDonald's EUR;22600788851;83;0.07%;116,860;5.06;3.6;83,139;0.01;420.26;72.33;5.81
Skippable in-stream;Zott Hungry May - Jul 2025 (YT) - Reach Mix;Zott EUR;22588201807;776;0.05%;1,437,702;4.52;2.44;477,257;0.01;3511.13;0;0
In-feed;Zott Hungry May - Jul 2025 (YT) - Reach Mix;Zott EUR;22588201807;12;0.00%;464,383;17.28;0.45;10,104;0.02;207.32;0;0
Bumper;Zott Hungry May - Jul 2025 (YT) - Reach Mix;Zott EUR;22588201807;4,952;0.18%;2,715,585;0.8;1.46;0;0;3970.75;0;0
Shorts;Zott Hungry May - Jul 2025 (YT) - Reach Mix;Zott EUR;22588201807;565;0.15%;389,192;0.54;0.79;7,497;0.04;306.88;0;0
Skippable in-stream;McDonald's Employer Image II May - June 2025 - (YT) - VVC - CPV;McDonald's EUR;22586420394;13,636;0.54%;2,547,437;0.65;3.49;1,095,130;0.01;8882.69;9,792.98;0.91
Shorts;McDonald's Employer Image II May - June 2025 - (YT) - VVC - CPV;McDonald's EUR;22586420394;415;0.24%;171,151;0.28;0.68;5,673;0.02;115.64;162.4;0.71
Skippable in-stream;McDonald's Happy Meal May-Jun 2025 (YT) -CPV;McDonald's EUR;22578284536;534;0.12%;432,581;2.81;3.47;266,570;0.01;1499.35;470.26;3.19
Skippable in-stream;McDonald's 1+1 May-Aug 2025 (YT) - CPV;McDonald's EUR;22577682633;1,683;0.10%;1,682,772;2.97;2.97;1,174,634;0;5001.46;794.76;6.29
In-feed;McDonald's 1+1 May-Aug 2025 (YT) - Bumper;McDonald's EUR;22577658432;42;0.00%;1,552,660;10.13;0.27;31,285;0.01;425.52;115.32;3.69
Bumper;McDonald's 1+1 May-Aug 2025 (YT) - Bumper;McDonald's EUR;22577658432;2,024;0.12%;1,753,372;1.03;1.18;0;0;2076.38;329.63;6.3
