Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
In-feed;Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC;23200358572;85,685;4,400,054;3052.25;1,800.84
Shorts;Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC;23200358572;2,598;319,346;78.24;14.86
Skippable in-stream;Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC;23196329174;2,552;80,247;94.08;38.26
In-feed;Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC;23196329174;66,158;3,760,677;2359.1;716.02
Shorts;Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC;23196329174;1,209;121,633;36.09;5.01
In-feed;Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC;23177785397;43,869;2,430,633;1728.89;143.44
Shorts;Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC;23177785397;5,461;835,776;196.16;28.64
In-feed;Volkswagen Gume Oct - Dec 2025 (DG) - CPC;23160958240;60,737;3,572,768;2514.54;491.09
Shorts;Volkswagen Gume Oct - Dec 2025 (DG) - CPC;23160958240;10,999;1,592,873;375.35;69.55
In-feed;Volkswagen Metlice Oct - Dec 2025 (DG) - CPC;23156738063;26,670;1,600,704;1118.37;205.56
Shorts;Volkswagen Metlice Oct - Dec 2025 (DG) - CPC;23156738063;3,931;542,221;129.35;28.53
In-feed;Škoda Metlice Oct - Dec 2025 (DG) - CPC;23156094650;10,702;401,481;395.54;291.95
Shorts;Škoda Metlice Oct - Dec 2025 (DG) - CPC;23156094650;2,593;371,282;84.69;6.99
In-feed;Škoda Gume Oct - Dec 2025 (DG) - CPC;23155974167;37,136;2,153,888;1477.38;326.97
Shorts;Škoda Gume Oct - Dec 2025 (DG) - CPC;23155974167;10,432;1,457,089;341.99;77.71
Skippable in-stream;Cupra Terramar Oct 2025 (YT) - Efficient reach;23155724081;1,921;1,900,240;4171.42;153
In-feed;Cupra Terramar Oct 2025 (YT) - Efficient reach;23155724081;53;1,262,893;472.83;55
Shorts;Cupra Terramar Oct 2025 (YT) - Efficient reach;23155724081;1,620;1,244,834;954;36
In-feed;Seat Metlice Oct - Dec 2025 (DG) - CPC;23151051484;23,421;1,333,432;910.74;1.58
Shorts;Seat Metlice Oct - Dec 2025 (DG) - CPC;23151051484;1,381;211,744;51.18;0
In-feed;Seat Gume Oct - Dec 2025 (DG) - CPC;23141475096;31,572;1,931,804;1213.1;378.32
Shorts;Seat Gume Oct - Dec 2025 (DG) - CPC;23141475096;4,878;769,268;184.32;30.79
Skippable in-stream;Volkswagen PHEV Sep - Oct 2025 (YT) - CPM;23005360310;660;579,247;1108.42;119.38
In-feed;Volkswagen PHEV Sep - Oct 2025 (YT) - CPM;23005360310;1;103,551;47.02;4.89
Shorts;Volkswagen PHEV Sep - Oct 2025 (YT) - CPM;23005360310;777;622,127;445.16;51.77
In-feed;Volkswagen PHEV Sep - Oct 2025 (DG) - CPC;22999073400;48,438;3,760,058;1443.9;1,089.07
Shorts;Volkswagen PHEV Sep - Oct 2025 (DG) - CPC;22999073400;13,004;1,969,198;367.94;37.45
Skippable in-stream;Škoda Kodiaq PHEV August 2025 (YT) - CPM;22845894406;1,067;1,282,277;1741.6;463.2
In-feed;Škoda Kodiaq PHEV August 2025 (YT) - CPM;22845894406;10;337,556;93;75.12
Shorts;Škoda Kodiaq PHEV August 2025 (YT) - CPM;22845894406;1,224;824,681;465.88;107.78
Skippable in-stream;Škoda Superb PHEV August 2025 (YT) - CPM;22845574717;3,213;2,364,597;3670.76;987.48
In-feed;Škoda Superb PHEV August 2025 (YT) - CPM;22845574717;28;667,358;228.88;42.06
Shorts;Škoda Superb PHEV August 2025 (YT) - CPM;22845574717;2,155;1,253,718;900.69;204.56
In-feed;Škoda Superb PHEV August 2025 (DG) - CPC;22841776748;65,649;5,285,331;2701.29;1,890.17
Shorts;Škoda Superb PHEV August 2025 (DG) - CPC;22841776748;6,059;1,137,385;248.65;269.68
In-feed;Škoda Kodiaq PHEV August 2025 (DG) - CPC;22836207357;26,404;1,816,469;1046.15;583.82
Shorts;Škoda Kodiaq PHEV August 2025 (DG) - CPC;22836207357;3,871;664,237;153.65;36.74
Skippable in-stream;Cupra Formentor Jul - Aug 2025 (YT) - CPM;22779402390;1,927;2,797,164;3814.62;161.74
In-feed;Cupra Formentor Jul - Aug 2025 (YT) - CPM;22779402390;22;972,891;200.66;7.8
Shorts;Cupra Formentor Jul - Aug 2025 (YT) - CPM;22779402390;2,838;1,932,050;986.2;50.04
In-feed;Cupra Formentor Jul - Aug 2025 (DG) - CPC;22779402381;172,138;9,409,798;3500.03;868.15
In-feed;Volkswagen PHEV Jun-Aug 2025 (DG) - CPC;22719192229;110,150;6,301,363;2272.86;13,428.86
Shorts;Volkswagen PHEV Jun-Aug 2025 (DG) - CPC;22719192229;33,551;4,527,882;669.34;282.11
Skippable in-stream;Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM;22718937352;2,750;2,290,122;3835.81;1,142.19
In-feed;Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM;22718937352;8;181,084;81;8.04
Shorts;Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM;22718937352;3,043;2,020,007;1444.28;683.3
Bumper;202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper;22623704862;13,180;7,431,954;11455.15;0
Non-skippable in-stream;202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview;22623626124;5,352;6,352,423;14402.15;0
Skippable in-stream;Cupra Formentor PHEV - May - Jun 2025 (YT) - CPM;22596525244;2,599;2,027,667;3784.82;111.9
In-feed;Cupra Formentor PHEV - May - Jun 2025 (YT) - CPM;22596525244;14;717,724;246.47;3
Shorts;Cupra Formentor PHEV - May - Jun 2025 (YT) - CPM;22596525244;1,173;880,347;566.63;20.73
In-feed;Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC;22586352378;113,248;6,244,644;3149.87;572.73
In-feed;Škoda Kodiaq May-Jun 2025 (DG) - CPC;22562758033;33,102;1,827,799;1140.73;577.68
Shorts;Škoda Kodiaq May-Jun 2025 (DG) - CPC;22562758033;1,713;370,471;59.22;61.03
Skippable in-stream;Škoda Kodiaq May-Jun 2025 (YT) - CPM;22559093276;1,653;1,898,340;3051.85;614.76
In-feed;Škoda Kodiaq May-Jun 2025 (YT) - CPM;22559093276;40;825,266;247.77;75.7
Skippable in-stream;Škoda Superb May-Jun 2025 (YT) - CPM;22553114580;1,603;1,872,007;3036.14;547.45
In-feed;Škoda Superb May-Jun 2025 (YT) - CPM;22553114580;23;824,221;263.33;50.31
In-feed;Škoda Superb May-Jun 2025 (DG) - CPC;22553033214;33,813;2,112,421;1152.76;1,029.61
Shorts;Škoda Superb May-Jun 2025 (DG) - CPC;22553033214;1,410;313,791;47.22;18.4
In-feed;Cupra Formentor PHEV II - May 2025 (DG) - CPC;22536061637;68,491;3,275,844;2089.69;264.53
Skippable in-stream;Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM;22470418028;834;795,737;1482.38;129.12
In-feed;Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM;22470418028;134;1,433,139;498.94;20.44
Bumper;Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM;22470418028;1,969;1,862,168;1959.36;51.02
Shorts;Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM;22470418028;2,579;1,732,212;1058.55;191.61
In-feed;Škoda Elroq Apr - May 2025 (DG) - CPC;22470193148;66,998;3,389,725;1936.54;2,413.74
Shorts;Škoda Elroq Apr - May 2025 (DG) - CPC;22470193148;1,940;377,848;63.64;62.24
In-feed;Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC;22425339566;31,208;1,909,845;993.17;202.98
Shorts;Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC;22425339566;1,774;345,699;56.61;9.84
In-feed;Volkswagen Servisni paketi - Ulje Apr - May 2025 (DG) - CPC;22418687457;31,147;2,429,234;1117.68;713.24
Shorts;Volkswagen Servisni paketi - Ulje Apr - May 2025 (DG) - CPC;22418687457;2,440;466,064;82.04;46.73
Skippable in-stream;Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM;22415374749;191;592,368;1111.52;97.04
In-feed;Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM;22415374749;72;1,033,761;334.18;196
Bumper;Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM;22415374749;2,349;1,947,789;2351.51;21.27
Shorts;Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM;22415374749;620;427,090;303.39;135.17
In-feed;Volkswagen Tayron - April/May 2025 (DG) - CPC;22414635975;94,955;7,071,892;2901.5;3,590.40
Shorts;Volkswagen Tayron - April/May 2025 (DG) - CPC;22414635975;1,541;332,199;48.83;9.16
Skippable in-stream;Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM;22402283892;243;450,347;817.08;0
In-feed;Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM;22402283892;95;835,760;316.86;0
Bumper;Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM;22402283892;3,542;1,752,728;2163.25;0
Shorts;Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM;22402283892;2,356;1,386,290;902.37;0
In-feed;Škoda Servisni paketi - Metlice Apr - May 2025 (DG) - CPC;22397389919;30,192;1,816,263;937.1;164.87
Shorts;Škoda Servisni paketi - Metlice Apr - May 2025 (DG) - CPC;22397389919;3,665;724,335;112.78;20.74
In-feed;Volkswagen Servisni paketi - Metlice Apr - May 2025 (DG) - CPC;22391036373;34,754;2,777,752;1151.35;365.28
Shorts;Volkswagen Servisni paketi - Metlice Apr - May 2025 (DG) - CPC;22391036373;1,493;256,947;48.43;7.11
In-feed;Seat Ulje Apr - May 2025 (DG) - CPC;22379063754;14,839;811,594;441.4;52.5
Shorts;Seat Ulje Apr - May 2025 (DG) - CPC;22379063754;2,047;416,502;62.59;9
In-feed;Seat Metlice Apr - May 2025 (DG) - CPC;22379011626;16,169;959,112;467.16;53.5
Shorts;Seat Metlice Apr - May 2025 (DG) - CPC;22379011626;1,191;231,050;36.83;6
In-feed;Seat Gume Mar - Apr 2025 (DG) - CPC;22371337385;20,237;1,318,408;615.83;301
Shorts;Seat Gume Mar - Apr 2025 (DG) - CPC;22371337385;1,853;345,860;56.24;34
In-feed;Škoda Gume Mar - Apr 2025 (DG) - CPC;22364219038;43,609;1,866,502;1185.25;154.33
Shorts;Škoda Gume Mar - Apr 2025 (DG) - CPC;22364219038;8,270;1,240,002;213.66;58.01
In-feed;Volkswagen Gume Mar - Apr 2025 (DG) - CPC;22360534505;50,463;2,261,992;1502.9;891.98
Shorts;Volkswagen Gume Mar - Apr 2025 (DG) - CPC;22360534505;3,581;615,006;97.64;68.01
In-feed;Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC;22359572836;75,200;3,570,505;2189.84;274.11
Skippable in-stream;Volkswagen AE Boost March 2025 (YT) - VVC - CPV;22313291011;2,066;1,485,290;3732.85;2,219.41
In-feed;Volkswagen AE Boost March 2025 (YT) - VVC - CPV;22313291011;87;686,544;361.19;628.42
Shorts;Volkswagen AE Boost March 2025 (YT) - VVC - CPV;22313291011;626;343,892;205.86;255.66
Bumper;Volkswagen AE Boost March 2025 (YT) - Bumper - CPM;22302962088;2,271;1,953,493;2499.98;106.66
In-feed;Volkswagen AE Boost March 2025 (DG) - CPC;22296172251;41,370;1,954,318;1068.6;17,071.34
Shorts;Volkswagen AE Boost March 2025 (DG) - CPC;22296172251;1,233;221,806;31.93;25.66
Skippable in-stream;Energycom March 2025 (YT) - Reach Mix 2.0;22296132423;1,938;1,447,021;1940.86;3.08
In-feed;Energycom March 2025 (YT) - Reach Mix 2.0;22296132423;52;692,940;148.73;0
Shorts;Energycom March 2025 (YT) - Reach Mix 2.0;22296132423;843;885,174;411.07;1
Skippable in-stream;YT-Cupra-Terramar_2025-view's-13012025-22012025;22113707264;193;462,930;824.96;0
Skippable in-stream;YT-Cupra-Terramar_2025-view's-23012025-31012025 Formentor;22107432864;371;429,075;825.06;0
Skippable in-stream;YT - Cupra Terramar 2024 - View's - 31102024-24112024;21874551119;0;0;0;0
Non-skippable in-stream;202410//Weisser Riese//Re-imagine Scent/Aromatherapy//Laundry Monster//video//Trueview;21790284451;0;0;0;0
Bumper;202410//Weisser Riese//Re-imagine Scent/Aromatherapy//Laundry Monster//video//Bumper;21779950440;0;0;0;0
In-feed;Energycom Sep - Oct 2024 (DG) - CPC;21731456802;0;0;0;0
Shorts;Energycom Sep - Oct 2024 (DG) - CPC;21731456802;0;0;0;0
Skippable in-stream;YT - Golf 2nd flight - views - 16092024-29092024;21704914543;0;0;0;0
Skippable in-stream;YT-Cupra-Formentor_2024-views-26082024-15092024;21628033350;0;0;0;0
Skippable in-stream;YT - Škoda - Novi Kodiaq - View's - 06062024-26062024;21357995664;0;0;0;0
Skippable in-stream;YT - Formentor posebni popusti - Views - 17042024-28042024;21209387236;0;0;0;0
Bumper;202404//Weisser Riese//Mileage RL 2023 - Dodgeball Cold Water//Mileage RL 2023 - Dodgeball Cold Water//video//Bumper;21160526635;0;0;0;0
Non-skippable in-stream;202404//Weisser Riese//Mileage RL 2023 - Dodgeball Cold Water//Mileage RL 2023 - Dodgeball Cold Water//video//Trueview;21160526617;0;0;0;0
Skippable in-stream;Youtube/Gvideo - Seat Ibiza - Reach - 18032024-31032024;21115085743;0;0;0;0
Skippable in-stream;Youtube/Gvideo Audio - Seat Ibiza - Reach - 18022024-31032024;21104932491;0;0;0;0
Skippable in-stream;Gvideo/YouTube - AE Boost - Video views - 29022024-09032024;21063289154;0;0;0;0
Bumper;Gvideo/YouTube - Tarraco AO - Reach - 20022024-31052024;21046391941;0;0;0;0
Skippable in-stream;POR-Porsche-Cupra-Rosalia-Formentor-GVideo-NoLink-reach-TOP-GEN-cro-HR-14122023-24122023;20887226344;0;0;0;0
Skippable in-stream;[2023 - 12] Xmas campaign reach;20877722795;0;0;0;0
Skippable in-stream;POR-Porsche-Cupra-Rosalia-Formentor-GVideo-NoLink-views-TOP-GEN-cro-HR-14122023-24122023;20861786853;0;0;0;0
Skippable in-stream;POR-Porsche-Cupra-Born-GVideo-NoLink-views-TOP-GEN-cro-HR-21112023-30112023;20798003485;0;0;0;0
Audio;AUDIO -POR-Porsche-Cupra-Born-GVideo-NoLink-reach-TOP-GEN-cro-HR-21112023-30112023;20787770316;0;0;0;0
Skippable in-stream;POR-Porsche-Seat-SUV_4_zimske_gume-GVideo-NoLink-views-TOP-GEN-cro-HR-18092023-28092023;20589985080;0;0;0;0
Skippable in-stream;POR-Porsche-Volkswagen-id.3-GVideo-NoLink-views-TOP-GEN-cro-HR-18092023-28092023;20563347530;0;0;0;0
Skippable in-stream;POR-Porsche-Volkswagen-Lager_akcija-GVideo-NoLink-views-TOP-GEN-cro-HR-05092023-15092023;20516848512;0;0;0;0
Unsegmented;[2023 - 08] Jesenska kampanja - YT;20507294374;0;0;0;0
Skippable in-stream;POR-Porsche-Škoda-Brand_kampanja-GVideo-NoLink-views-TOP-GEN-cro-HR-27062023-13072023-;20321888554;0;0;0;0
Skippable in-stream;POR-Porsche-Volkswagen-Amarok-GVideo-NoLink-views-TOP-GEN-cro-HR-26062023-09072023;20307735750;0;0;0;0
Skippable in-stream;VW - ID FAMILY - VIDEO VIEWS - 06/23;20267264542;0;0;0;0
Skippable in-stream;POR-Porsche-Seat-SUVs-GVideo-NoLink-views-TOP-GEN-cro-HR-24052023-02062023 - 20sec;20179370783;0;0;0;0
Skippable in-stream;POR-Porsche-Seat-SUVs-GVideo-NoLink-views-TOP-GEN-cro-HR-03062023-02062023 - 5sec Tarraco;20174598882;0;0;0;0
Skippable in-stream;POR-Porsche-Seat-SUVs-GVideo-NoLink-views-TOP-GEN-cro-HR-03062023-02062023 - 5sec Ateca;20174580882;0;0;0;0
Skippable in-stream;POR-Porsche-Škoda-Enyaq-GVideo-NoLink-views-TOP-GEN-cro-HR-17052023-01062023;20158176190;0;0;0;0
Skippable in-stream;POR-Porsche-Seat-Enyaq-GVideo-NoLink-reach-TOP-GEN-cro-HR-17052023-01062023;20152219651;0;0;0;0
Bumper;OLV_Bumper 6sec_SMM_Dodgeball_Cold_Wash - non-skippable;20106166921;0;0;0;0
Non-skippable in-stream;OLV_Trueview 15sec_SMM_Dodgeball_Cold_Wash - non-skippable;20102192348;0;0;0;0
Skippable in-stream;POR-Porsche-Cupra-Formentor-GVideo-NoLink-views-TOP-GEN-cro-HR-07042023-14042023 - rmkt;19896297833;0;0;0;0
Bumper;POR-Porsche-Cupra-Leon-GVideo-NoLink-reach-TOP-GEN-cro-HR-24032023-30032023;19876328072;0;0;0;0
Skippable in-stream;POR-Porsche-Cupra-Leon-GVideo-NoLink-views-TOP-GEN-cro-HR-24032023-12042023;19868640153;0;0;0;0
Skippable in-stream;POR-Porsche-Cupra-Formentor-GVideo-NoLink-views-TOP-GEN-cro-HR-24032023-06042023;19868232909;0;0;0;0
Skippable in-stream;VWG - ID.BUZZ - YOUTUBE - 03/23;19768159413;0;0;0;0
In-feed;McDonald's Bacon Rosti February 2026 (DG) - CPC;23542770121;0;0;0;0
Shorts;McDonald's Bacon Rosti February 2026 (DG) - CPC;23542770121;0;0;0;0
Bumper;McDonald's Snack Menu AO II Feb - Mar 2026 (YT) - Bumper;23515938217;0;0;0;0
In-feed;McDonald's Bacon Rosti Jan - Feb 2026 (DG) - CPC;23511120912;0;0;0;0
Shorts;McDonald's Bacon Rosti Jan - Feb 2026 (DG) - CPC;23511120912;0;0;0;0
Skippable in-stream;McDonald's Snack Menu AO II Feb - Mar 2026 (YT) - CPV;23506196775;0;0;0;0
Skippable in-stream;T03_000055_HR_NBD_BodyMilk_AW_Feb26_Mar26_fullf_OMD_DigGR_VRC;23496037882;0;0;0;0
In-feed;T03_000055_HR_NBD_BodyMilk_AW_Feb26_Mar26_fullf_OMD_DigGR_VRC;23496037882;0;0;0;0
Bumper;T03_000055_HR_NBD_BodyMilk_AW_Feb26_Mar26_fullf_OMD_DigGR_VRC;23496037882;0;0;0;0
Skippable in-stream;Nissan_2026_01_20_Nissan range_YouTube_Views_Google Ads;23476271402;0;0;0;0
In-feed;Nissan_2026_01_20_Nissan range_YouTube_Views_Google Ads;23476271402;0;0;0;0
Shorts;Nissan_2026_01_20_Nissan range_YouTube_Views_Google Ads;23476271402;0;0;0;0
Bumper;McDonald's Happy Meal Space With Crayola January 2026 (YT) - Bumper;23468435455;0;0;0;0
Bumper;McDonald's Dessert I Lotus Biscoff January 2026 (YT) - Bumper;23463584800;0;0;0;0
Skippable in-stream;McDonald's Happy Meal Space With Crayola January 2026 (YT) - CPV;23458770393;0;0;0;0
Skippable in-stream;McDonald's Opušteno Dopušteno - Youth January 2026 (YT) - CPV;23456375194;0;0;0;0
Skippable in-stream;McDonald's Opušteno Dopušteno - Family January 2026 (YT) - CPV;23456207410;0;0;0;0
Skippable in-stream;McDonald's Dessert I Lotus Biscoff January 2026 (YT) - CPV;23453939964;0;0;0;0
In-feed;McDonald's Opušteno Dopušteno - Youth January 2026 (YT) - Bumper;23451874706;0;0;0;0
Bumper;McDonald's Opušteno Dopušteno - Youth January 2026 (YT) - Bumper;23451874706;0;0;0;0
Bumper;McDonald's Opušteno Dopušteno - Family January 2026 (YT) - Bumper;23451710807;0;0;0;0
Bumper;McDonald's Coffee AO Jan - Feb 2026 (YT) - Bumper;23431543612;0;0;0;0
Skippable in-stream;McDonald's Breakfast AO Jan - Mar 2026 (YT) - CPV;23427461903;0;0;0;0
Skippable in-stream;McDonald's Snack Menu AO I January 2026 (YT) - CPV;23426317127;0;0;0;0
Bumper;McDonald's Snack Menu AO I January 2026 (YT) - Bumper;23426317124;0;0;0;0
Skippable in-stream;McDonald's SIRious Winter January 2026 (YT) - CPV;23423614984;0;0;0;0
Bumper;McDonald's Breakfast AO Jan - Mar 2026 (YT) - Bumper;23422382052;0;0;0;0
Skippable in-stream;McDonald's Coffee AO Jan - Feb 2026 (YT) - CPV;23421978846;0;0;0;0
Bumper;McDonald's SIRious Winter January 2026 (YT) - Bumper;23414174121;0;0;0;0
Skippable in-stream;McDonald's Srijeda koja vrijedi više AO Jan - Mar 2026 (YT) - CPV;23412236827;0;0;0;0
Skippable in-stream;McDonald's McDelivery AO Jan - Mar 2026 (YT) - CPV;23408223596;0;0;0;0
In-feed;McDonald's McDelivery AO Jan - Mar 2026 (YT) - Bumper;23408223587;0;0;0;0
Bumper;McDonald's McDelivery AO Jan - Mar 2026 (YT) - Bumper;23408223587;0;0;0;0
Bumper;McDonald's Coffee Monday AO Jan - May 2026 (YT) - Bumper;23402893422;0;0;0;0
Skippable in-stream;McDonald's Coffee Monday AO Jan - May 2026 (YT) - CPV;23402892360;0;0;0;0
Bumper;McDonald's Srijeda koja vrijedi više AO Jan - Mar 2026 (YT) - Bumper;23402834619;0;0;0;0
Skippable in-stream;Zott Monte Jan - Mar 2026 (YT) - Trueview - CPV;23385021484;0;0;0;0
In-feed;Zott Monte Jan - Mar 2026 (YT) - Trueview - CPV;23385021484;0;0;0;0
Shorts;Zott Monte Jan - Mar 2026 (YT) - Trueview - CPV;23385021484;0;0;0;0
Bumper;Zott Jogobella Jan - Feb 2026 (YT) - Bumper - CPM;23382731680;0;0;0;0
Bumper;Zott Protein Jan - Mar 2026 (YT) - Bumper - CPM;23376106317;0;0;0;0
Skippable in-stream;Zott Protein Jan - Mar 2026 (YT) - Trueview - CPV;23376106020;0;0;0;0
In-feed;Zott Protein Jan - Mar 2026 (YT) - Trueview - CPV;23376106020;0;0;0;0
Shorts;Zott Protein Jan - Mar 2026 (YT) - Trueview - CPV;23376106020;0;0;0;0
Skippable in-stream;Zott Jogobella Jan - Feb 2026 (YT) - TrueView - CPV;23373690159;0;0;0;0
In-feed;Zott Jogobella Jan - Feb 2026 (YT) - TrueView - CPV;23373690159;0;0;0;0
Skippable in-stream;McDonald's McDelivery x Glovo III Dec 2025 (YT) - CPV;23368942255;306;336,136;1198.36;186.91
In-feed;McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper;23359818609;1;16,508;13.82;1.11
Bumper;McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper;23359818609;630;559,967;984.74;194.72
Skippable in-stream;McDonald's Happy Meal Playmobil December 2025 (YT) - CPV;23357095577;202;265,389;999.7;75.96
Skippable in-stream;T03_001636_HR_NFC_CellularEpigenetics_AW_Feb26_Mar26_fullf_OMD_DigGR_VRC;23354834050;0;0;0;0
In-feed;T03_001636_HR_NFC_CellularEpigenetics_AW_Feb26_Mar26_fullf_OMD_DigGR_VRC;23354834050;0;0;0;0
Bumper;T03_001636_HR_NFC_CellularEpigenetics_AW_Feb26_Mar26_fullf_OMD_DigGR_VRC;23354834050;0;0;0;0
Shorts;T03_001636_HR_NFC_CellularEpigenetics_AW_Feb26_Mar26_fullf_OMD_DigGR_VRC;23354834050;0;0;0;0
Bumper;McDonald's Happy Meal Playmobil December 2025 (YT) - Bumper;23351985054;509;439,882;799.71;114.01
In-feed;McDonald's Sirious Winter December 2025 (YT) - Bumper;23344793168;3;195,821;96.26;1.01
Bumper;McDonald's Sirious Winter December 2025 (YT) - Bumper;23344793168;1,140;1,115,350;1903.08;223.01
Skippable in-stream;McDonald's Sirious Winter December 2025 (YT) - CPV;23339715288;648;929,467;2999.47;245.98
Skippable in-stream;McDonald's Snack Menu AO III December 2025 (YT) - CPV;23334197017;225;369,341;999.83;57.66
In-feed;McDonald's Snack Menu AO III December 2025 (YT) - Bumper;23330173406;6;169,634;60.2;3
Bumper;McDonald's Snack Menu AO III December 2025 (YT) - Bumper;23330173406;393;687,476;739.68;76.75
Skippable in-stream;T03_000227_HR_NFC_CellularLuminous630_AW_Jan26_Feb26_fullf_OMD_DigGR_Older;23322606388;0;0;0;0
In-feed;T03_000227_HR_NFC_CellularLuminous630_AW_Jan26_Feb26_fullf_OMD_DigGR_Older;23322606388;0;0;0;0
Bumper;T03_000227_HR_NFC_CellularLuminous630_AW_Jan26_Feb26_fullf_OMD_DigGR_Older;23322606388;0;0;0;0
Skippable in-stream;T03_000227_HR_NFC_CellularLuminous630_AW_Jan26_Feb26_fullf_OMD_DigGR_Younger;23322567292;0;0;0;0
In-feed;T03_000227_HR_NFC_CellularLuminous630_AW_Jan26_Feb26_fullf_OMD_DigGR_Younger;23322567292;0;0;0;0
Bumper;T03_000227_HR_NFC_CellularLuminous630_AW_Jan26_Feb26_fullf_OMD_DigGR_Younger;23322567292;0;0;0;0
Skippable in-stream;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCM;23322449917;0;0;0;0
In-feed;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCM;23322449917;0;0;0;0
Bumper;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCM;23322449917;0;0;0;0
Shorts;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCM;23322449917;0;0;0;0
Skippable in-stream;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCF;23322449680;0;0;0;0
In-feed;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCF;23322449680;0;0;0;0
Bumper;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCF;23322449680;0;0;0;0
Shorts;T03_001630_HR_NDO_DermaControl(unisex)_AW_Jan26_Feb26_fullf_OMD_DigGR_VRCF;23322449680;0;0;0;0
Skippable in-stream;McDonald's Fries December 2025 (YT) - CPV;23315136637;569;964,150;2999.2;275.04
In-feed;McDonald's Adventski kalendar December 2025 (YT) - Bumper;23314665535;3;440,293;233.35;2.01
Bumper;McDonald's Adventski kalendar December 2025 (YT) - Bumper;23314665535;1,295;1,041,049;1766.33;373.96
Skippable in-stream;McDonald's Adventski kalendar December 2025 (YT) - CPV;23310621005;673;932,111;2999.36;406.4
In-feed;McDonald's Fries December 2025 (YT) - Bumper;23305942254;3;401,202;158.17;2
Bumper;McDonald's Fries December 2025 (YT) - Bumper;23305942254;1,163;1,144,374;1841.49;285.12
Skippable in-stream;McDonald's Employer Image IV - Young Adults - Nov - Dec 2025 (VVC) - CPV;23280469343;2,559;983,909;4414.37;1,471.12
Shorts;McDonald's Employer Image IV - Young Adults - Nov - Dec 2025 (VVC) - CPV;23280469343;258;98,167;84.86;67
Skippable in-stream;McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC;23279927975;6,274;156,474;207.53;2,229.70
In-feed;McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC;23279927975;49,457;3,444,786;1688.97;20,924.42
Shorts;McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC;23279927975;3,329;392,753;102.55;1,786.88
Skippable in-stream;McDonald's McDelivery Wolt II November 2025 (YT) - CPV;23246559597;877;389,052;1799.16;551.66
In-feed;McDonald's McDelivery Wolt II November 2025 (YT) - Bumper;23246559240;20;254,299;179.79;12.01
Bumper;McDonald's McDelivery Wolt II November 2025 (YT) - Bumper;23246559240;971;434,763;1019.61;313.86
Skippable in-stream;McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV;23240243956;522;972,613;2999.71;311.34
In-feed;McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - Bumper;23230869507;21;858,644;251.35;15
