Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeBlades_OneBlade360Blades_RECMANOB_GOO_BRD_BLADES 6.8.-25.9.2024._Youtube;21549047173;0;0;0;0
In-feed;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_HAIRCARE;21398104726;0;0;0;0
Shorts;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_HAIRCARE;21398104726;0;0;0;0
Bumper;Rio Mare Insalatissime Jun - Jul 2024 (YT) - Bumper - CPM;21398007508;0;0;0;0
In-feed;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_LUMEA;21394076384;0;0;0;0
Shorts;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_LUMEA;21394076384;0;0;0;0
In-feed;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_ONEBLADE;21394076312;0;0;0;0
Shorts;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_ONEBLADE;21394076312;0;0;0;0
In-feed;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_HEALTHCARE;21394076150;0;0;0;0
Shorts;DG_OMD_HR-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_HEALTHCARE;21394076150;0;0;0;0
In-feed;DG_OMD_HR-EN_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare Prestige_13.06.-09.08.DEMAND GEN;21380907320;0;0;0;0
Shorts;DG_OMD_HR-EN_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare Prestige_13.06.-09.08.DEMAND GEN;21380907320;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_BEA_Femaledepilation_FemaledepilationUn_NA_GOO_BRD_Epilators_DG_7.6.-19.7.2024.;21358679652;0;0;0;0
Skippable in-stream;DG_OMD_HR-EN_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_05.06.-30.07..DEMAND GEN;21340501654;0;0;0;0
In-feed;DG_OMD_HR-EN_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_05.06.-30.07..DEMAND GEN;21340501654;0;0;0;0
Shorts;DG_OMD_HR-EN_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_05.06.-30.07..DEMAND GEN;21340501654;0;0;0;0
Skippable in-stream;Hidra Equity - Ivica Kostelić May - June 2024 (YT) - Reach Mix - 2.0;21297568208;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_1.5.-1.6.2024.;21247237877;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_1.5.-1.6.2024.;21247237877;0;0;0;0
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_1.5.-1.6.2024.;21247237877;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_DG_1.5.-1.6.2024.;21240579822;0;0;0;0
In-feed;DG_OMD_HR-HR_OHC_ID_CordlessPowerFlosser_CordlessPFCombos_RECCONFLO_GOO_BRD_PowerFlosser_DG_2.5.-2.7.2024.;21228638814;0;0;0;0
Skippable in-stream;lactogyn_april_2024_youtube_cpm_reachmix_2.0;21221386484;0;0;0;0
In-feed;lactogyn_april_2024_youtube_cpm_reachmix_2.0;21221386484;0;0;0;0
Bumper;lactogyn_april_2024_youtube_cpm_reachmix_2.0;21221386484;0;0;0;0
Shorts;lactogyn_april_2024_youtube_cpm_reachmix_2.0;21221386484;0;0;0;0
Skippable in-stream;reflustat_april_2024_youtube_cpm;21212871241;0;0;0;0
