Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Bumper	T03_000033_HR_NCR_Soft_AW_Apr25_Jun25_fullf_OMD_DigGR_Bumper	22429432504	8,678	4,272,527	0.20%	1.0	2.03	0	0.0	35.86	242.13	0.41%	8681.97
Skippable in-stream	T03_000033_HR_NCR_Soft_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueView	22419536577	6,523	3,188,543	0.20%	1.09	2.23	855,258	0.01	380.96	18.65	0.03%	7103.6
Bumper	T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Bumper - Male	22366950856	755	421,252	0.18%	0.66	1.19	0	0.0	4	124.96	0.53%	499.83
Skippable in-stream	T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Male	22366896424	171	233,696	0.07%	2.93	2.14	168,861	0.0	76.49	6.54	0.04%	500.32
Skippable in-stream	T03_000158_HR_NDO_BW(unisex)_CO_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Female	22363752698	1,055	660,136	0.16%	1.84	2.93	391,219	0.0	480.49	4.03	0.10%	1937.17
Skippable in-stream	T03_000158_HR_NDO_BW(unisex)_CO_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Male	22363394816	907	768,833	0.12%	2.14	2.52	524,806	0.0	240.07	8.07	0.04%	1936.78
Skippable in-stream	T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Female	22363265963	104	180,844	0.06%	4.81	2.77	126,962	0.0	14.04	35.63	0.01%	500.37
Bumper	T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Bumper - Female	22356921765	775	343,154	0.23%	0.65	1.46	0	0.0	83.57	5.98	10.78%	499.91
Skippable in-stream	T03_001506_HR_NBD_Luminous630Body_AW_Mar25_May25_fullf_OMD_DigGR_TrueView	22343045254	789	873,197	0.09%	3.8	3.44	603,851	0.0	171.87	17.46	0.02%	3000.68
Skippable in-stream	T03_001506_HR_NBD_Luminous630Body_CO_Mar25_May25_fullf_OMD_DigGR_TrueView	22339436384	1,831	963,599	0.19%	1.91	3.63	580,573	0.01	645.06	5.43	0.10%	3500.43
Skippable in-stream	T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Trueview	22339414513	7,112	2,902,074	0.25%	1.41	3.45	1,568,687	0.01	2,869.08	3.49	0.15%	10000.29
Bumper	T03_001506_HR_NBD_Luminous630Body_AW_Mar25_May25_fullf_OMD_DigGR_Bumpers	22339259423	1,233	912,276	0.14%	1.62	2.19	0	0.0	32.57	61.42	2.64%	2000.4
Non-skippable in-stream	202503//Bref//TWC Cat Growth CX 24//Consumption campaign//video//Trueview	22332695936	3,540	3,419,181	0.10%	2.1	2.17	0	0.0	0	0.0	0.00%	7431.2
Skippable in-stream	T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Influenceri - VVC	22329610038	3,147	1,116,713	0.28%	1.06	3.0	567,282	0.01	1,880.50	1.78	0.25%	3350.69
In-feed	T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Influenceri - VVC	22329610038	35	367,194	0.01%	7.31	0.7	22,098	0.01	72.06	3.55	0.21%	255.9
Shorts	T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Influenceri - VVC	22329610038	2,888	1,083,890	0.27%	0.31	0.83	78,207	0.01	1,320.94	0.68	0.67%	895.47
Bumper	T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Bumper	22329334281	9,404	4,700,787	0.20%	1.06	2.13	0	0.0	329.29	30.35	3.50%	9994.85
Non-skippable in-stream	T03_000085_HR_NSU_UVFace_CO_Mar25_May25_fullf_OMD_DigGR_Nonskippable In-market	22328795888	6,081	3,265,596	0.19%	1.79	3.33	0	0.0	69.81	155.94	1.15%	10886.51
Shorts	T03_000085_HR_NSU_UVFace_AW_Mar25_May25_fullf_OMD_DigGR_Shorts	22328716745	1,682	825,610	0.20%	0.26	0.53	23,307	0.02	113.84	3.81	0.40%	433.87
Bumper	202503//Bref//TWC Cat Growth CX 24//Consumption campaign//video//Bumper	22326129339	9,625	4,423,650	0.22%	0.63	1.38	0	0.0	0	0.0	0.00%	6091.93
Non-skippable in-stream	T03_000085_HR_NSU_UVFace_CO_Mar25_May25_fullf_OMD_DigGR_Nonskippable Custom	22322350200	1,224	426,967	0.29%	1.2	3.45	0	0.0	32.43	45.42	2.65%	1472.87
Bumper	T03_000085_HR_NSU_UVFace_AW_Mar25_May25_fullf_OMD_DigGR_Bumper	22322179083	7,646	3,986,200	0.19%	1.16	2.23	0	0.0	86.89	102.15	1.14%	8875.46
Bumper	T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_Bumper - Female	22295030785	1,597	884,139	0.18%	0.81	1.47	0	0.0	161.66	8.04	10.12%	1300.42
Bumper	T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_Bumper - Male	22291389092	2,949	1,378,123	0.21%	0.68	1.45	0	0.0	62.01	32.26	2.10%	2000.14
Shorts	T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_TrueviewShorts - Male	22284590328	735	784,853	0.09%	1.36	1.27	20,956	0.05	99.78	10.03	0.39%	1000.43
Shorts	T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_TrueviewShorts - Female	22284289146	879	570,504	0.15%	0.8	1.23	15,813	0.04	112.15	6.25	0.60%	700.51
Skippable in-stream	T03_000227_HR_NFC_CellularLuminous630_AW_Feb25_Apr25_fullf_OMD_DigGR_trueview	22249484069	5,148	2,208,582	0.23%	1.2	2.79	1,171,061	0.01	2,233.36	2.76	0.16%	6156.73
In-feed	T03_000227_HR_NFC_CellularLuminous630_AW_Feb25_Apr25_fullf_OMD_DigGR_trueview	22249484069	19	267,602	0.01%	7.93	0.56	17,424	0.01	60.78	2.48	0.25%	150.72
Shorts	T03_000227_HR_NFC_CellularLuminous630_AW_Feb25_Apr25_fullf_OMD_DigGR_trueview	22249484069	841	375,186	0.22%	0.23	0.52	12,044	0.02	317.87	0.61	1.15%	193.53
Skippable in-stream	T03_000227_HR_NFC_CellularLuminous630_CO_Feb25_Apr25_fullf_OMD_DigGR_na	22245320049	6,405	1,775,898	0.36%	0.82	2.96	815,386	0.01	2,602.05	2.02	0.24%	5259.59
In-feed	T03_000227_HR_NFC_CellularLuminous630_CO_Feb25_Apr25_fullf_OMD_DigGR_na	22245320049	69	512,414	0.01%	4.8	0.65	31,853	0.01	204.85	1.62	0.53%	331.37
Shorts	T03_000227_HR_NFC_CellularLuminous630_CO_Feb25_Apr25_fullf_OMD_DigGR_na	22245320049	1,734	710,245	0.24%	0.24	0.58	36,337	0.01	592.44	0.69	0.68%	410.33
Bumper	T03_000227_HR_NFC_CellularLuminous630_AW_Feb25_Apr25_fullf_OMD_DigGR_bumper	22243238376	11,236	3,707,613	0.30%	0.57	1.72	0	0.0	898.05	7.1	7.99%	6372.39
Skippable in-stream	T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Urea Trueview	22217496884	927	508,041	0.18%	1.35	2.46	337,372	0.0	289.09	4.32	0.07%	1250.11
Bumper	T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Bumper - RC	22217449910	1,254	617,194	0.20%	0.6	1.21	0	0.0	0	0.0	0.00%	749.61
Skippable in-stream	T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Trueview - RC	22217401436	943	540,372	0.17%	1.33	2.31	350,946	0.0	190.36	6.57	0.05%	1249.88
Bumper	T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Urea Bumper	22211100459	1,268	632,105	0.20%	0.59	1.19	0	0.0	23.06	32.5	1.82%	749.55
Bumper	T03_001505_HR_NME_Luminous630Moisturizer_AW_Feb25_Mar25_fullf_OMD_DigGR_KNOW - Bumper W	22199101129	3,134	1,373,827	0.23%	0.67	1.53	0	0.0	113.52	18.47	3.62%	2096.34
Skippable in-stream	T03_001505_HR_NME_Luminous630Moisturizer_AW_Feb25_Mar25_fullf_OMD_DigGR_KNOW - TrueView W	22199077804	1,436	1,087,233	0.13%	2.23	2.94	671,657	0.0	423.69	7.55	0.05%	3199.94
Skippable in-stream	T03_000286_HR_NFL_MicellarExtra_CO_Feb25_Mar25_fullf_OMD_DigGR_Trueview	22198525186	4,683	1,771,777	0.26%	1.17	3.1	938,832	0.01	1,320.89	4.16	0.12%	5498.78
Skippable in-stream	T03_000286_HR_NFL_MicellarExtra_AW_Feb25_Mar25_fullf_OMD_DigGR_Influencers - NoN VVC	22198490344	2,513	930,648	0.27%	1.19	3.22	474,028	0.01	707.43	4.24	0.11%	2999.93
Skippable in-stream	T03_000286_HR_NFL_MicellarExtra_AW_Feb25_Mar25_fullf_OMD_DigGR_Trueview	22198446400	2,143	877,368	0.24%	1.17	2.85	467,248	0.01	611.33	4.09	0.11%	2499.75
Bumper	T03_000286_HR_NFL_MicellarExtra_AW_Feb25_Mar25_fullf_OMD_DigGR_Bumper	22194673340	3,999	1,824,467	0.22%	0.75	1.64	0	0.0	250.61	11.96	6.27%	2997.87
Bumper	T03_001505_HR_NME_Luminous630Moisturizer_AW_Feb25_Mar25_fullf_OMD_DigGR_KNOW - Bumper M	22188924642	4,154	1,920,400	0.22%	0.6	1.3	0	0.0	54.78	45.56	1.32%	2495.56
Skippable in-stream	T03_001505_HR_NME_Luminous630Moisturizer_AW_Feb25_Mar25_fullf_OMD_DigGR_KNOW - TrueView M	22188796263	2,731	1,495,182	0.18%	1.28	2.34	889,427	0.0	827.98	4.23	0.08%	3500.01
Bumper	202501//Schauma//Schauma MEN Scalp Offense Relaunch 2024//Relaunch Schauma MEN Scalp Offense 2024//video//Bumper	22149808472	4,548	2,185,606	0.21%	0.59	1.24	0	0.0	0	0.0	0.00%	2702.71
Non-skippable in-stream	202501//Schauma//Schauma MEN Scalp Offense Relaunch 2024//Relaunch Schauma MEN Scalp Offense 2024//video//Trueview	22149808469	2,448	1,930,240	0.13%	1.66	2.1	0	0.0	0	0.0	0.00%	4053.63
Skippable in-stream	T03_001594_HR_NFC_Q10DualActionSerum_CO_Jan25_Mar25_fullf_OMD_DigGR_trueview	22149659989	4,073	1,776,159	0.23%	1.35	3.1	938,343	0.01	1,261.91	4.36	0.12%	5499.73
Bumper	T03_001594_HR_NFC_Q10DualActionSerum_AW_Jan25_Mar25_fullf_OMD_DigGR_bumper	22149545170	11,403	3,394,998	0.34%	0.53	1.77	0	0.0	1,351.87	4.43	11.86%	5993.9
Bumper	202501//Bref//Power Active RL 24//Easier Way campaign//video//Bumper//ALL25-34	22149196229	686	516,423	0.13%	1.0	1.33	0	0.0	0	0.0	0.00%	689.07
Bumper	202501//Bref//Power Active RL 24//Easier Way campaign//video//Bumper//F35-54withkids	22149196226	1,004	451,962	0.22%	0.63	1.39	0	0.0	0	0.0	0.00%	629.12
