Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Non-skippable in-stream	202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview	22623626124	5,352	6,352,423	0.08%	2.69	2.27	0	0.0	0	0.0	0.00%	14402.15
Skippable in-stream	Cupra Formentor PHEV - May - Jun 2025 (YT) - CPM	22596525244	2,599	2,027,667	0.13%	1.46	1.87	560,756	0.01	111.9	33.82	0.01%	3784.82
In-feed	Cupra Formentor PHEV - May - Jun 2025 (YT) - CPM	22596525244	14	717,724	0.00%	17.6	0.34	8,969	0.03	3	82.16	0.02%	246.47
Shorts	Cupra Formentor PHEV - May - Jun 2025 (YT) - CPM	22596525244	1,173	880,347	0.13%	0.48	0.64	10,500	0.05	20.73	27.33	0.07%	566.63
In-feed	Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC	22586352378	113,248	6,244,644	1.81%	0.03	0.5	0	0.0	572.73	5.5	0.51%	3149.87
In-feed	Škoda Kodiaq May-Jun 2025 (DG) - CPC	22562758033	33,102	1,827,799	1.81%	0.03	0.62	0	0.0	577.68	1.97	1.75%	1140.73
Shorts	Škoda Kodiaq May-Jun 2025 (DG) - CPC	22562758033	1,713	370,471	0.46%	0.03	0.16	0	0.0	61.03	0.97	3.56%	59.22
Skippable in-stream	Škoda Kodiaq May-Jun 2025 (YT) - CPM	22559093276	1,653	1,898,340	0.09%	1.85	1.61	589,046	0.01	614.76	4.96	0.09%	3051.85
In-feed	Škoda Kodiaq May-Jun 2025 (YT) - CPM	22559093276	40	825,266	0.00%	6.19	0.3	8,570	0.03	75.7	3.27	0.54%	247.77
Skippable in-stream	Škoda Superb May-Jun 2025 (YT) - CPM	22553114580	1,603	1,872,007	0.09%	1.89	1.62	578,931	0.01	547.45	5.55	0.08%	3036.14
In-feed	Škoda Superb May-Jun 2025 (YT) - CPM	22553114580	23	824,221	0.00%	11.45	0.32	8,602	0.03	50.31	5.23	0.36%	263.33
In-feed	Škoda Superb May-Jun 2025 (DG) - CPC	22553033214	33,813	2,112,421	1.60%	0.03	0.55	0	0.0	1,029.61	1.12	3.05%	1152.76
Shorts	Škoda Superb May-Jun 2025 (DG) - CPC	22553033214	1,410	313,791	0.45%	0.03	0.15	0	0.0	18.4	2.57	1.30%	47.22
In-feed	Cupra Formentor PHEV II - May 2025 (DG) - CPC	22536061637	68,491	3,275,844	2.09%	0.03	0.64	0	0.0	264.53	7.9	0.39%	2089.69
Skippable in-stream	Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM	22470418028	834	795,737	0.10%	1.78	1.86	248,420	0.01	129.12	11.48	0.04%	1482.38
In-feed	Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM	22470418028	134	1,433,139	0.01%	3.72	0.35	17,713	0.03	20.44	24.41	0.08%	498.94
Bumper	Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM	22470418028	1,969	1,862,168	0.11%	1.0	1.05	0	0.0	51.02	38.4	2.59%	1959.36
Shorts	Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM	22470418028	2,579	1,732,212	0.15%	0.41	0.61	37,152	0.03	191.61	5.52	0.22%	1058.55
In-feed	Škoda Elroq Apr - May 2025 (DG) - CPC	22470193148	66,998	3,389,725	1.98%	0.03	0.57	0	0.0	2,413.74	0.8	3.60%	1936.54
Shorts	Škoda Elroq Apr - May 2025 (DG) - CPC	22470193148	1,940	377,848	0.51%	0.03	0.17	0	0.0	62.24	1.02	3.21%	63.64
In-feed	Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22425339566	31,208	1,909,845	1.63%	0.03	0.52	0	0.0	202.98	4.89	0.65%	993.17
Shorts	Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22425339566	1,774	345,699	0.51%	0.03	0.16	0	0.0	9.84	5.75	0.55%	56.61
In-feed	Volkswagen Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22418687457	31,147	2,429,234	1.28%	0.04	0.46	0	0.0	713.24	1.57	2.29%	1117.68
Shorts	Volkswagen Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22418687457	2,440	466,064	0.52%	0.03	0.18	0	0.0	46.73	1.76	1.92%	82.04
Skippable in-stream	Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM	22415374749	191	592,368	0.03%	5.82	1.88	211,786	0.01	97.04	11.45	0.04%	1111.52
In-feed	Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM	22415374749	72	1,033,761	0.01%	4.64	0.32	17,621	0.02	196	1.7	0.77%	334.18
Bumper	Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM	22415374749	2,349	1,947,789	0.12%	1.0	1.21	0	0.0	21.27	110.54	0.91%	2351.51
Shorts	Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM	22415374749	620	427,090	0.15%	0.49	0.71	7,980	0.04	135.17	2.24	0.77%	303.39
In-feed	Volkswagen Tayron - April/May 2025 (DG) - CPC	22414635975	94,955	7,071,892	1.34%	0.03	0.41	0	0.0	3,590.40	0.81	3.78%	2901.5
Shorts	Volkswagen Tayron - April/May 2025 (DG) - CPC	22414635975	1,541	332,199	0.46%	0.03	0.15	0	0.0	9.16	5.33	0.59%	48.83
Skippable in-stream	Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM	22402283892	243	450,347	0.05%	3.36	1.81	145,358	0.01	0	0.0	0.00%	817.08
In-feed	Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM	22402283892	95	835,760	0.01%	3.34	0.38	19,760	0.02	0	0.0	0.00%	316.86
Bumper	Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM	22402283892	3,542	1,752,728	0.20%	0.61	1.23	0	0.0	0	0.0	0.00%	2163.25
Shorts	Volkswagen Transporter Apr-May 2025 (YT) - Reach Mix - CPM	22402283892	2,356	1,386,290	0.17%	0.38	0.65	40,317	0.02	0	0.0	0.00%	902.37
In-feed	Škoda Servisni paketi - Metlice Apr - May 2025 (DG) - CPC	22397389919	30,192	1,816,263	1.66%	0.03	0.52	0	0.0	164.87	5.68	0.55%	937.1
Shorts	Škoda Servisni paketi - Metlice Apr - May 2025 (DG) - CPC	22397389919	3,665	724,335	0.51%	0.03	0.16	0	0.0	20.74	5.44	0.57%	112.78
In-feed	Volkswagen Servisni paketi - Metlice Apr - May 2025 (DG) - CPC	22391036373	34,754	2,777,752	1.25%	0.03	0.41	0	0.0	365.28	3.15	1.05%	1151.35
Shorts	Volkswagen Servisni paketi - Metlice Apr - May 2025 (DG) - CPC	22391036373	1,493	256,947	0.58%	0.03	0.19	0	0.0	7.11	6.81	0.48%	48.43
In-feed	Seat Ulje Apr - May 2025 (DG) - CPC	22379063754	14,839	811,594	1.83%	0.03	0.54	0	0.0	52.5	8.41	0.35%	441.4
Shorts	Seat Ulje Apr - May 2025 (DG) - CPC	22379063754	2,047	416,502	0.49%	0.03	0.15	0	0.0	9	6.95	0.44%	62.59
In-feed	Seat Metlice Apr - May 2025 (DG) - CPC	22379011626	16,169	959,112	1.69%	0.03	0.49	0	0.0	53.5	8.73	0.33%	467.16
Shorts	Seat Metlice Apr - May 2025 (DG) - CPC	22379011626	1,191	231,050	0.52%	0.03	0.16	0	0.0	6	6.14	0.50%	36.83
In-feed	Seat Gume Mar - Apr 2025 (DG) - CPC	22371337385	20,237	1,318,408	1.53%	0.03	0.47	0	0.0	301	2.05	1.49%	615.83
Shorts	Seat Gume Mar - Apr 2025 (DG) - CPC	22371337385	1,853	345,860	0.54%	0.03	0.16	0	0.0	34	1.65	1.83%	56.24
In-feed	Škoda Gume Mar - Apr 2025 (DG) - CPC	22364219038	43,609	1,866,502	2.34%	0.03	0.64	0	0.0	154.33	7.68	0.35%	1185.25
Shorts	Škoda Gume Mar - Apr 2025 (DG) - CPC	22364219038	8,270	1,240,002	0.67%	0.03	0.17	0	0.0	58.01	3.68	0.70%	213.66
In-feed	Volkswagen Gume Mar - Apr 2025 (DG) - CPC	22360534505	50,463	2,261,992	2.23%	0.03	0.66	0	0.0	891.98	1.68	1.77%	1502.9
Shorts	Volkswagen Gume Mar - Apr 2025 (DG) - CPC	22360534505	3,581	615,006	0.58%	0.03	0.16	0	0.0	68.01	1.44	1.90%	97.64
In-feed	Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC	22359572836	75,200	3,570,505	2.11%	0.03	0.61	0	0.0	274.11	7.99	0.36%	2189.84
Skippable in-stream	Volkswagen AE Boost March 2025 (YT) - VVC - CPV	22313291011	2,066	1,485,290	0.14%	1.81	2.51	924,955	0.0	2,219.41	1.68	0.22%	3732.85
In-feed	Volkswagen AE Boost March 2025 (YT) - VVC - CPV	22313291011	87	686,544	0.01%	4.15	0.53	47,379	0.01	628.42	0.57	0.99%	361.19
Shorts	Volkswagen AE Boost March 2025 (YT) - VVC - CPV	22313291011	626	343,892	0.18%	0.33	0.6	16,268	0.01	255.66	0.81	0.62%	205.86
Bumper	Volkswagen AE Boost March 2025 (YT) - Bumper - CPM	22302962088	2,271	1,953,493	0.12%	1.1	1.28	0	0.0	106.66	23.44	4.70%	2499.98
In-feed	Volkswagen AE Boost March 2025 (DG) - CPC	22296172251	41,370	1,954,318	2.12%	0.03	0.55	0	0.0	17,071.34	0.06	41.25%	1068.6
Shorts	Volkswagen AE Boost March 2025 (DG) - CPC	22296172251	1,233	221,806	0.56%	0.03	0.14	0	0.0	25.66	1.24	2.08%	31.93
Skippable in-stream	Energycom March 2025 (YT) - Reach Mix 2.0	22296132423	1,938	1,447,021	0.13%	1.0	1.34	355,611	0.01	3.08	631.04	0.00%	1940.86
In-feed	Energycom March 2025 (YT) - Reach Mix 2.0	22296132423	52	692,940	0.01%	2.86	0.21	7,079	0.02	0	0.0	0.00%	148.73
Shorts	Energycom March 2025 (YT) - Reach Mix 2.0	22296132423	843	885,174	0.10%	0.49	0.46	8,165	0.05	1	411.07	0.01%	411.07
Skippable in-stream	HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO	23247963255	703	923,980	0.08%	2.81	2.14	331,253	0.01	0	0.0	0.00%	1975.36
In-feed	HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO	23247963255	5	501,707	0.00%	48.87	0.49	4,994	0.05	0	0.0	0.00%	244.37
Shorts	HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO	23247963255	2	1,839	0.11%	1.1	1.2	19	0.12	0	0.0	0.00%	2.2
Skippable in-stream	McDonald's McDelivery x Glovo III Dec 2025 (YT) - CPV	23368942255	306	336,136	0.09%	3.92	3.57	206,296	0.01	186.91	6.41	0.08%	1198.36
In-feed	McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper	23359818609	1	16,508	0.01%	13.82	0.84	373	0.04	1.11	12.41	0.26%	13.82
Bumper	McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper	23359818609	630	559,967	0.11%	1.56	1.76	0	0.0	194.72	5.06	30.91%	984.74
Skippable in-stream	McDonald's Happy Meal Playmobil December 2025 (YT) - CPV	23357095577	202	265,389	0.08%	4.95	3.77	173,435	0.01	75.96	13.16	0.04%	999.7
Bumper	McDonald's Happy Meal Playmobil December 2025 (YT) - Bumper	23351985054	509	439,882	0.12%	1.57	1.82	0	0.0	114.01	7.01	22.40%	799.71
Skippable in-stream	meralys_december_2025_youtube_cpm	23344911816	6,143	2,609,158	0.24%	0.93	2.18	762,460	0.01	5.28	1077.84	0.00%	5693.96
In-feed	meralys_december_2025_youtube_cpm	23344911816	52	1,573,485	0.00%	18.26	0.6	24,973	0.04	1	949.51	0.00%	949.51
Shorts	meralys_december_2025_youtube_cpm	23344911816	1,852	972,612	0.19%	0.55	1.04	21,768	0.05	2	505.08	0.01%	1010.16
In-feed	McDonald's Sirious Winter December 2025 (YT) - Bumper	23344793168	3	195,821	0.00%	32.09	0.49	4,007	0.02	1.01	95.49	0.02%	96.26
Bumper	McDonald's Sirious Winter December 2025 (YT) - Bumper	23344793168	1,140	1,115,350	0.10%	1.67	1.71	0	0.0	223.01	8.53	19.56%	1903.08
Skippable in-stream	McDonald's Sirious Winter December 2025 (YT) - CPV	23339715288	648	929,467	0.07%	4.63	3.23	595,092	0.01	245.98	12.19	0.04%	2999.47
Skippable in-stream	McDonald's Snack Menu AO III December 2025 (YT) - CPV	23334197017	225	369,341	0.06%	4.44	2.71	240,601	0.0	57.66	17.34	0.02%	999.83
In-feed	McDonald's Snack Menu AO III December 2025 (YT) - Bumper	23330173406	6	169,634	0.00%	10.03	0.35	2,336	0.03	3	20.07	0.11%	60.2
Bumper	McDonald's Snack Menu AO III December 2025 (YT) - Bumper	23330173406	393	687,476	0.06%	1.88	1.08	0	0.0	76.75	9.64	19.53%	739.68
Skippable in-stream	McDonald's Fries December 2025 (YT) - CPV	23315136637	569	964,150	0.06%	5.27	3.11	605,540	0.0	275.04	10.9	0.04%	2999.2
In-feed	McDonald's Adventski kalendar December 2025 (YT) - Bumper	23314665535	3	440,293	0.00%	77.78	0.53	9,796	0.02	2.01	116.19	0.02%	233.35
Bumper	McDonald's Adventski kalendar December 2025 (YT) - Bumper	23314665535	1,295	1,041,049	0.12%	1.36	1.7	0	0.0	373.96	4.72	28.88%	1766.33
Skippable in-stream	McDonald's Adventski kalendar December 2025 (YT) - CPV	23310621005	673	932,111	0.07%	4.46	3.22	593,760	0.01	406.4	7.38	0.06%	2999.36
In-feed	McDonald's Fries December 2025 (YT) - Bumper	23305942254	3	401,202	0.00%	52.72	0.39	6,080	0.03	2	79.08	0.03%	158.17
Bumper	McDonald's Fries December 2025 (YT) - Bumper	23305942254	1,163	1,144,374	0.10%	1.58	1.61	0	0.0	285.12	6.46	24.52%	1841.49
In-feed	DG_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.	23283832784	770	60,031	1.28%	0.72	9.18	0	0.0	9.91	55.56	1.29%	550.81
Skippable in-stream	VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.	23283807728	1,030	934,214	0.11%	1.35	1.49	366,572	0.0	7.5	185.12	0.00%	1388.41
In-feed	VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.	23283807728	16	775,797	0.00%	15.34	0.32	10,603	0.02	0	0.0	0.00%	245.46
Shorts	VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.	23283807728	638	553,548	0.12%	0.42	0.48	4,715	0.06	0	0.0	0.00%	267.29
Skippable in-stream	McDonald's Employer Image IV - Young Adults - Nov - Dec 2025 (VVC) - CPV	23280469343	2,559	983,909	0.26%	1.73	4.49	373,585	0.01	1,471.12	3.0	0.32%	4414.37
Shorts	McDonald's Employer Image IV - Young Adults - Nov - Dec 2025 (VVC) - CPV	23280469343	258	98,167	0.26%	0.33	0.86	2,676	0.03	67	1.27	1.60%	84.86
Skippable in-stream	McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC	23279927975	6,274	156,474	4.01%	0.03	1.33	21,635	0.01	2,229.70	0.09	5.46%	207.53
In-feed	McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC	23279927975	49,457	3,444,786	1.44%	0.03	0.49	1,057	0.28	20,922.42	0.08	39.98%	1688.97
Shorts	McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC	23279927975	3,329	392,753	0.85%	0.03	0.26	1,527	0.02	1,786.88	0.06	29.07%	102.55
Skippable in-stream	prolife_november_2025_youtube_cpm	23257344616	2,904	2,308,729	0.13%	1.65	2.08	819,265	0.01	4.72	1015.62	0.00%	4790.85
In-feed	prolife_november_2025_youtube_cpm	23257344616	12	1,361,978	0.00%	79.12	0.7	22,408	0.04	0	0.0	0.00%	949.46
Skippable in-stream	McDonald's McDelivery Wolt II November 2025 (YT) - CPV	23246559597	877	389,052	0.23%	2.05	4.62	204,894	0.01	551.66	3.26	0.23%	1799.16
In-feed	McDonald's McDelivery Wolt II November 2025 (YT) - Bumper	23246559240	20	254,299	0.01%	8.99	0.71	3,910	0.05	12.01	14.97	0.26%	179.79
Bumper	McDonald's McDelivery Wolt II November 2025 (YT) - Bumper	23246559240	971	434,763	0.22%	1.05	2.35	0	0.0	313.86	3.25	32.32%	1019.61
Skippable in-stream	McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV	23240243956	522	972,613	0.05%	5.75	3.08	661,513	0.0	311.34	9.63	0.04%	2999.71
Skippable in-stream	VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025	23237552771	100	142,917	0.07%	2.87	2.01	54,909	0.01	0	0.0	0.00%	287.22
In-feed	VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025	23237552771	14	437,529	0.00%	14.83	0.47	5,642	0.04	4	51.9	0.06%	207.59
Bumper	VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025	23237552771	270	518,979	0.05%	3.16	1.64	0	0.0	0	0.0	0.00%	852.07
Shorts	VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025	23237552771	655	369,850	0.18%	0.38	0.68	5,262	0.05	0	0.0	0.00%	251.96
In-feed	DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_DG_1.11.-31.12.2025.	23232127389	17,532	429,654	4.08%	0.12	5.08	0	0.0	56.92	38.35	0.32%	2182.94
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.	23232127383	319	423,048	0.08%	2.01	1.51	137,412	0.0	4	160.19	0.00%	640.77
In-feed	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.	23232127383	9	416,109	0.00%	14.31	0.31	4,855	0.03	1	128.8	0.01%	128.8
Shorts	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.	23232127383	541	418,976	0.13%	0.43	0.55	5,866	0.04	5	46.43	0.04%	232.13
In-feed	McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - Bumper	23230869507	21	858,644	0.00%	11.97	0.29	7,145	0.04	15	16.76	0.18%	251.35
Bumper	McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - Bumper	23230869507	899	1,389,103	0.06%	1.94	1.26	0	0.0	272.01	6.43	30.26%	1748.2
Skippable in-stream	VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.	23223956797	321	867,021	0.04%	1.53	0.57	279,475	0.0	0	0.0	0.00%	490.74
In-feed	VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.	23223956797	0	1,144,365	0.00%	0.0	0.18	22,221	0.01	0	0.0	0.00%	204.18
Bumper	VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.	23223956797	578	1,147,148	0.05%	0.8	0.41	0	0.0	0	0.0	0.00%	465.21
Shorts	VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.	23223956797	0	653,106	0.00%	0.0	0.37	13,632	0.02	0	0.0	0.00%	240.94
In-feed	DG_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_DG_Consideration_1.11.-15.12.2025.	23214457857	2,023	69,174	2.92%	0.2	5.92	0	0.0	3	136.49	0.15%	409.48
Skippable in-stream	McDonald's McDelivery AO Nov 2025 (YT) - CPV	23204814416	224	387,308	0.06%	5.36	3.1	276,087	0.0	64.59	18.57	0.02%	1199.78
In-feed	McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - Bumper	23201479909	3	112,209	0.00%	27.94	0.75	2,422	0.03	5.01	16.74	0.18%	83.82
Bumper	McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - Bumper	23201479909	187	177,253	0.11%	2.23	2.35	0	0.0	49	8.5	26.20%	416.53
Skippable in-stream	McDonald's Farmburger Oct - Nov 2025 (YT) - CPV	23201466461	262	310,159	0.08%	3.82	3.22	216,013	0.0	107.24	9.32	0.05%	999.81
In-feed	McDonald's Farmburger Oct - Nov 2025 (YT) - Bumper	23201466458	12	477,529	0.00%	11.92	0.3	5,119	0.03	12.26	11.67	0.20%	143.09
Bumper	McDonald's Farmburger Oct - Nov 2025 (YT) - Bumper	23201466458	588	661,019	0.09%	1.46	1.3	0	0.0	184.62	4.64	31.40%	856.55
In-feed	McDonald's McDelivery AO Nov 2025 (YT) - Bumper	23199593493	3	262,291	0.00%	40.13	0.46	4,579	0.03	1	119.87	0.02%	120.38
Bumper	McDonald's McDelivery AO Nov 2025 (YT) - Bumper	23199593493	385	371,184	0.10%	1.77	1.83	0	0.0	17.13	39.66	4.45%	679.55
Skippable in-stream	McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - CPV	23197204073	298	167,003	0.18%	2.69	4.79	85,086	0.01	145.57	5.5	0.15%	800.33
In-feed	DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.	23172997630	3,917	201,148	1.95%	0.24	4.58	0	0.0	19.97	46.17	0.51%	921.92
In-feed	DG_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.	23168792639	14,807	497,588	2.98%	0.04	1.31	0	0.0	14	46.5	0.09%	650.94
Skippable in-stream	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.	23163601191	343	596,213	0.06%	1.08	0.62	201,848	0.0	0	0.0	0.00%	371.77
In-feed	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.	23163601191	36	1,243,540	0.00%	6.07	0.18	24,174	0.01	0	0.0	0.00%	218.63
Bumper	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.	23163601191	1,532	1,861,250	0.08%	0.47	0.39	0	0.0	0	0.0	0.00%	726.79
Shorts	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.	23163601191	1,331	688,039	0.19%	0.18	0.34	12,681	0.02	0.01	18937.68	0.00%	234.87
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.	23163446124	293	405,264	0.07%	2.17	1.57	148,316	0.0	3.77	169.11	0.00%	637.06
In-feed	VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.	23163446124	23	950,984	0.00%	12.76	0.31	8,043	0.04	0	0.0	0.00%	293.51
Bumper	VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.	23163446124	637	829,799	0.08%	1.74	1.34	0	0.0	1.73	641.24	0.27%	1111.24
Skippable in-stream	McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - CPV	23159917831	660	522,123	0.13%	2.94	3.72	315,982	0.01	335.55	5.79	0.09%	1941.98
Skippable in-stream	McDonald's Coffee Monday II Oct - Dec 2025 (YT) - CPV	23156569103	702	566,789	0.12%	2.85	3.53	339,846	0.01	237.49	8.42	0.06%	1999.47
In-feed	DG_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.	23156565104	4,585	303,718	1.51%	0.34	5.1	0	0.0	6.05	256.44	0.13%	1550.44
In-feed	McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper	23151658453	0	359,927	0.00%	0.0	0.53	6,060	0.03	8.13	23.53	0.12%	191.34
Bumper	McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper	23151658453	747	544,212	0.14%	1.35	1.85	0	0.0	24	41.95	3.21%	1007.01
Skippable in-stream	McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV	23151653998	540	488,638	0.11%	3.33	3.68	326,839	0.01	91.84	19.57	0.03%	1797.77
In-feed	McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper	23151276168	30	681,270	0.00%	13.32	0.59	11,045	0.04	20.25	19.72	0.15%	399.46
Bumper	McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper	23151276168	512	775,425	0.07%	2.15	1.42	0	0.0	118.14	9.31	23.07%	1100.16
In-feed	McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper	23150230785	36	963,593	0.00%	10.19	0.38	12,275	0.03	15.93	23.02	0.11%	366.8
Bumper	McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper	23150230785	680	869,968	0.08%	1.55	1.21	0	0.0	157.42	6.7	23.15%	1054.6
In-feed	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 15.10-15.12.2025.	23142265886	6,604	502,759	1.31%	0.21	2.81	0	0.0	36.01	39.25	0.55%	1413.35
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.	23140105375	199	225,973	0.09%	2.25	1.98	79,609	0.01	0	0.0	0.00%	447.94
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.	23140105375	13	757,905	0.00%	17.91	0.31	9,817	0.02	0	0.0	0.00%	232.86
Bumper	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.	23140105375	362	574,720	0.06%	2.62	1.65	0	0.0	0	0.0	0.00%	948.07
Shorts	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.	23140105375	776	565,946	0.14%	0.43	0.59	10,188	0.03	8.27	40.64	0.06%	336.04
In-feed	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11	23140104916	11,842	502,466	2.36%	0.14	3.23	0	0.0	51.53	31.53	0.44%	1624.4
